thermal_conductivity,temperature,pressure,state,refno,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,c_p,c_v,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,dp_drho_npt,dp_drho_nvt,dp_drho_tot,speed_of_sound,success
0.1216,301.28,27320000.0,Liquid,51298,10461.703092678856,-82.10223973489245,-37.17258688352909,-4.470834567512393 m^-2 kg^-1 s^2 mol K,-1.9175078969904573 m^-2 kg^-1 s^2 mol K,-20278.60552977981,-20172.157334685846,-8972.800358416202,-9079.248553510166,9.558673106483057e-05,168.8764719652548,141.93242560252412,-0.44363000886520276,-33.40823396859053,-32.96460395972532,-18744.265581568114,-21045.794192438523,9762.103622193728,0.00010243693764185646,115.51684557137315,0.008656746079359835,-0.008554309141717979,-1.6007106751203537e-08,1.8683764261515477e-05,2.568503818692632e-05,8.013328378844047e-06,1.3747250194026457,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,46748.197367660956,46965.61723203595,49470.59852963316,1006.3367495516763,1
0.1175,301.32,20490000.0,Liquid,51298,10315.900553019454,-81.1612706784683,-36.364681647369316,-4.3736659021081055 m^-2 kg^-1 s^2 mol K,-1.8758329746825144 m^-2 kg^-1 s^2 mol K,-20032.21941624871,-20551.279169921894,-9593.873295936575,-9074.813542263391,9.693773169491257e-05,169.94656296225816,141.51464393319003,-0.4440616457706246,-33.40193666468274,-32.95787501891211,-18741.83670911746,-21043.480964145365,9761.318547958193,0.0001024451763444574,115.64963941290225,0.008646806034817925,-0.008544360858473467,-9.19681042432785e-09,1.868611724315922e-05,2.568674319128858e-05,8.014337555277488e-06,1.3746431565761588,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,43069.64549523327,42139.0666160107,44644.380492112636,960.4281722186831,1
0.114,301.56,14660000.0,Liquid,51298,10174.847249046798,-80.16585165952297,-35.58195006341432,-4.279524931139515 m^-2 kg^-1 s^2 mol K,-1.8354566081369141 m^-2 kg^-1 s^2 mol K,-19785.29890383476,-20851.800380225457,-10121.707519102236,-9055.206042711538,9.828157372030152e-05,171.2084874780165,141.17075334595108,-0.44665780306791336,-33.364166986220276,-32.91750918315236,-18727.25537286908,-21029.58991712385,9756.605440934858,0.00010249466436393906,116.44889593515772,0.00858745797432747,-0.008484963309963532,-3.734021447598934e-07,1.870023270748137e-05,2.569697084177999e-05,8.020391573581832e-06,1.374152463434289,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,39473.94149637783,37794.58236718181,40301.8917143121,917.0203722674912,1
0.1104,301.59,9207000.0,Liquid,51298,10031.586468734946,-79.26421966622236,-34.81049200843775,-4.186739854050802 m^-2 kg^-1 s^2 mol K,-1.7956617744534413 m^-2 kg^-1 s^2 mol K,-19533.752701693542,-21123.510491932368,-10625.014207107626,-9035.256416868799,9.968512987618269e-05,172.6998022358795,140.78245134915556,-0.44698308733809833,-33.35944747756389,-32.91246439022579,-18725.43172729015,-21027.85212613504,9756.01598114916,0.0001025008571052187,116.54910407328963,0.008580074535546576,-0.008477573678441357,1.8795253708958626e-07,1.8701996848268613e-05,2.5698249011884077e-05,8.021148200524713e-06,1.3740911850417277,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,35800.58577120166,33628.95477184168,36136.51355285051,873.3147037449929,1
0.107,301.64,4472000.0,Liquid,51298,9892.344676413119,-78.386709893633,-34.069656011506,-4.097637763999394 m^-2 kg^-1 s^2 mol K,-1.7574465466851292 m^-2 kg^-1 s^2 mol K,-19284.772858849683,-21340.68062388128,-11063.909584570609,-9008.001819539015,0.00010108826903134067,174.42288869704882,140.42089794628237,-0.44752560583709355,-33.35158246792846,-32.904056862091366,-18722.39183372611,-21024.955110150604,9755.033389152533,0.0001025111816748866,116.71626658039226,0.008567786044725962,-0.008465274863051075,-6.961636245250702e-08,1.870493693864845e-05,2.570037915412892e-05,8.022409183555078e-06,1.3739890831188193,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,32272.732897567013,29846.244204495346,32354.21870863509,831.5288310324717,1
0.1292,301.69,42610000.0,Liquid,51298,10737.238994190504,-83.67749948224248,-38.69947565467779,-4.65447707590674 m^-2 kg^-1 s^2 mol K,-1.9962708113304592 m^-2 kg^-1 s^2 mol K,-20719.075158234136,-19259.033647787604,-7583.788837527862,-9043.830347974394,9.313381219707045e-05,167.4158110333463,142.8746856915279,-0.44806859713314057,-33.34371850496016,-32.895649907827014,-18719.35133430508,-21022.05722140854,9754.050598227557,0.0001025215104155512,116.88361540199946,0.008555519065359896,-0.008452997554944344,-6.979098543524742e-08,1.870787684872532e-05,2.5702509119834347e-05,8.023670089254833e-06,1.3738870170927822,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,53285.98506145171,57055.90443916494,59564.29466643559,1095.8209074049687,1
0.1248,301.69,34160000.0,Liquid,51298,10588.354169495817,-82.71757225588246,-37.85564530897498,-4.5529876129725455 m^-2 kg^-1 s^2 mol K,-1.9527427309018603 m^-2 kg^-1 s^2 mol K,-20479.626551734294,-19761.830777557054,-8341.161144292395,-9058.956918469632,9.444338411732754e-05,168.16457975167526,142.41176365765307,-0.44806859713314057,-33.34371850496016,-32.895649907827014,-18719.35133430508,-21022.05722140854,9754.050598227557,0.0001025215104155512,116.88361540199946,0.008555519065359896,-0.008452997554944344,-6.979098543524742e-08,1.870787684872532e-05,2.5702509119834347e-05,8.023670089254833e-06,1.3738870170927822,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,49855.12512867488,51496.11963539892,54004.50986266957,1047.4549031817432,1
0.1031,301.7,465000.0,Liquid,51298,9760.509878530243,-77.55768003637266,-33.37672547021602,-4.014297375917418 m^-2 kg^-1 s^2 mol K,-1.721702470300224 m^-2 kg^-1 s^2 mol K,-19045.392967425378,-21506.22538554143,-11436.467311177257,-8975.634893061204,0.0001024536640447089,176.34928434453985,140.0910865034546,-0.44817725215198534,-33.342145837866035,-32.89396858571405,-18718.7431616647,-21021.477538861065,9753.854016155625,0.00010252357666453358,116.91710753778362,0.008553068246893074,-0.00845054467022854,2.2264430299401283e-07,1.8708464809107288e-05,2.5702935091794563e-05,8.023922261116376e-06,1.37386660819344,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,29003.624745026053,26496.056170645737,29004.529542542572,792.5752396574885,1
0.1333,301.7,50750000.0,Liquid,51298,10868.126786977195,-84.52543154730037,-39.450757748436075,-4.744835542624479 m^-2 kg^-1 s^2 mol K,-2.035024889763654 m^-2 kg^-1 s^2 mol K,-20923.85023848235,-18762.70565369398,-6860.41204099082,-9021.556625779189,9.201217648640764e-05,166.8846128247925,143.29703150332534,-0.44817725215198534,-33.342145837866035,-32.89396858571405,-18718.7431616647,-21021.477538861065,9753.854016155625,0.00010252357666453358,116.91710753778362,0.008553068246893074,-0.00845054467022854,2.2264430299401283e-07,1.8708464809107288e-05,2.5702935091794563e-05,8.023922261116376e-06,1.37386660819344,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,56054.76292036954,62238.95980189794,64747.433173794765,1139.008113766415,1
0.1375,301.72,59610000.0,Liquid,51298,10999.226265321126,-85.37843684906805,-40.21225015237602,-4.836422027393483 m^-2 kg^-1 s^2 mol K,-2.07430565606136 m^-2 kg^-1 s^2 mol K,-21123.248862135155,-18212.416411146678,-6079.576295171786,-8990.408746160261,9.091548586038699e-05,166.4604145186684,143.7353158742755,-0.4483946189667775,-33.33900062910423,-32.890606010137446,-18717.526743589002,-21020.318068917637,9753.460828113532,0.00010252770966358772,116.98411419080085,0.008548169184484332,-0.008445641474820744,-1.798616722226143e-08,1.8709640708239976e-05,2.5703787014536943e-05,8.024426595561979e-06,1.373825794699342,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,58517.45740096268,67716.62832301355,70225.26798416274,1182.8956467612556,1
