viscosity,temperature,pressure,state,refno,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,c_p,c_v,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,success
0.0001497,323.0,13310000.0,L,33458,9783.520320117577,-67.96426050898079,-32.38144613317035,-3.8945927861255725 m^-2 kg^-1 s^2 mol K,-1.6703620566110675 m^-2 kg^-1 s^2 mol K,-18739.182965459942,-20064.303391432557,-9605.096290418534,-8279.97586444592,0.00010221269719691063,177.79409567300206,145.2453634996073,-0.7263953080865397,-30.07257597476368,-29.34618066667714,-17359.818706102018,-19696.704899447,9314.56450654005,0.00010735874976203863,207.3896058056367,0.004821842426072159,-0.00471448367631012,-1.5011755749583244e-07,1.9944957023190924e-05,2.6594775316312765e-05,8.554244631418666e-06,1.3334085044851083,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,1
0.0001601,323.0,18030000.0,L,33458,9919.685004269098,-68.76898924030078,-33.071254050196714,-3.9775576088334508 m^-2 kg^-1 s^2 mol K,-1.7059450557832525 m^-2 kg^-1 s^2 mol K,-18977.1972711817,-19845.170658980038,-9163.155600766497,-8295.18221296816,0.00010080965268248273,176.2929052258653,145.59457413137451,-0.7263953080865397,-30.07257597476368,-29.34618066667714,-17359.818706102018,-19696.704899447,9314.56450654005,0.00010735874976203863,207.3896058056367,0.004821842426072159,-0.00471448367631012,-1.5011755749583244e-07,1.9944957023190924e-05,2.6594775316312765e-05,8.554244631418666e-06,1.3334085044851083,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,1
0.0001694,323.0,21980000.0,L,33458,10023.812995563057,-69.38924974304501,-33.60469165373661,-4.041715405679542 m^-2 kg^-1 s^2 mol K,-1.7334618605874037 m^-2 kg^-1 s^2 mol K,-19156.625573618727,-19649.418661365376,-8795.103257208453,-8302.310169461805,9.976243575599826e-05,175.29065462493062,145.8677141763356,-0.7263953080865397,-30.07257597476368,-29.34618066667714,-17359.818706102018,-19696.704899447,9314.56450654005,0.00010735874976203863,207.3896058056367,0.004821842426072159,-0.00471448367631012,-1.5011755749583244e-07,1.9944957023190924e-05,2.6594775316312765e-05,8.554244631418666e-06,1.3334085044851083,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,1
0.0001775,323.0,26850000.0,L,33458,10142.190563872035,-70.09957203936584,-34.21739845880254,-4.1154070960755265 m^-2 kg^-1 s^2 mol K,-1.7650676818592692 m^-2 kg^-1 s^2 mol K,-19357.68196763861,-19395.896312905337,-8343.676610712113,-8305.462265445389,9.859802906505683e-05,174.2857354435877,146.18487510341862,-0.7263953080865397,-30.07257597476368,-29.34618066667714,-17359.818706102018,-19696.704899447,9314.56450654005,0.00010735874976203863,207.3896058056367,0.004821842426072159,-0.00471448367631012,-1.5011755749583244e-07,1.9944957023190924e-05,2.6594775316312765e-05,8.554244631418666e-06,1.3334085044851083,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,1
0.00018570000000000001,323.0,29760000.0,L,33458,10208.444989581205,-70.4995606765958,-34.56324904312745,-4.157003360345186 m^-2 kg^-1 s^2 mol K,-1.7829080121192982 m^-2 kg^-1 s^2 mol K,-19468.77469221103,-19239.112697860688,-8075.1832569305225,-8304.845251280865,9.795811223164797e-05,173.7798085855412,146.36556519345504,-0.7263953080865397,-30.07257597476368,-29.34618066667714,-17359.818706102018,-19696.704899447,9314.56450654005,0.00010735874976203863,207.3896058056367,0.004821842426072159,-0.00471448367631012,-1.5011755749583244e-07,1.9944957023190924e-05,2.6594775316312765e-05,8.554244631418666e-06,1.3334085044851083,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,1
0.00019350000000000001,323.0,31920000.0,L,33458,10255.715968977638,-70.78601859496781,-34.811295077331415,-4.186836441037904 m^-2 kg^-1 s^2 mol K,-1.7957031998982256 m^-2 kg^-1 s^2 mol K,-19547.37939076656,-19120.54012793648,-7876.491817958433,-8303.331080788512,9.750660051671526e-05,173.44180293428957,146.4959135602505,-0.7263953080865397,-30.07257597476368,-29.34618066667714,-17359.818706102018,-19696.704899447,9314.56450654005,0.00010735874976203863,207.3896058056367,0.004821842426072159,-0.00471448367631012,-1.5011755749583244e-07,1.9944957023190924e-05,2.6594775316312765e-05,8.554244631418666e-06,1.3334085044851083,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,1
0.00019620000000000003,323.0,34250000.0,L,33458,10305.038874769232,-71.08587195618102,-35.071257467012614,-4.218102729867398 m^-2 kg^-1 s^2 mol K,-1.8091130800525468 m^-2 kg^-1 s^2 mol K,-19628.795356789764,-18990.750014363508,-7662.733852518432,-8300.779194944687,9.703990563765764e-05,173.10848735242695,146.63321322295235,-0.7263953080865397,-30.07257597476368,-29.34618066667714,-17359.818706102018,-19696.704899447,9314.56450654005,0.00010735874976203863,207.3896058056367,0.004821842426072159,-0.00471448367631012,-1.5011755749583244e-07,1.9944957023190924e-05,2.6594775316312765e-05,8.554244631418666e-06,1.3334085044851083,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,1
0.0001988,323.0,34540000.0,L,33458,10311.063077821771,-71.12256299553961,-35.10308939065423,-4.221931230289315 m^-2 kg^-1 s^2 mol K,-1.8107550955827127 m^-2 kg^-1 s^2 mol K,-19638.69653727461,-18974.467875467733,-7636.170002286417,-8300.39866409329,9.698321040736486e-05,173.0690896059932,146.6500743028375,-0.7263953080865397,-30.07257597476368,-29.34618066667714,-17359.818706102018,-19696.704899447,9314.56450654005,0.00010735874976203863,207.3896058056367,0.004821842426072159,-0.00471448367631012,-1.5011755749583244e-07,1.9944957023190924e-05,2.6594775316312765e-05,8.554244631418666e-06,1.3334085044851083,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,1
0.0001967,323.0,34560000.0,L,33458,10311.477631490583,-71.1250884200098,-35.105280540989,-4.222194765100331 m^-2 kg^-1 s^2 mol K,-1.810868123715072 m^-2 kg^-1 s^2 mol K,-19639.37753794441,-18973.343962356106,-7634.338347616656,-8300.37192320496,9.697931137881394e-05,173.0663887948251,146.65123533061742,-0.7263953080865397,-30.07257597476368,-29.34618066667714,-17359.818706102018,-19696.704899447,9314.56450654005,0.00010735874976203863,207.3896058056367,0.004821842426072159,-0.00471448367631012,-1.5011755749583244e-07,1.9944957023190924e-05,2.6594775316312765e-05,8.554244631418666e-06,1.3334085044851083,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,1
0.0001932,323.0,37210000.0,L,33458,10365.4017248831,-71.45418575109504,-35.391010508221186,-4.256560181165627 m^-2 kg^-1 s^2 mol K,-1.8256071966316605 m^-2 kg^-1 s^2 mol K,-19727.576604778613,-18823.320931828628,-7392.024537673188,-8296.280210623172,9.647479437284211e-05,172.72621522599906,146.8030745514842,-0.7263953080865397,-30.07257597476368,-29.34618066667714,-17359.818706102018,-19696.704899447,9314.56450654005,0.00010735874976203863,207.3896058056367,0.004821842426072159,-0.00471448367631012,-1.5011755749583244e-07,1.9944957023190924e-05,2.6594775316312765e-05,8.554244631418666e-06,1.3334085044851083,0.058123,2.331586,3.708601e-10,222.8774,8.31446261815324,1
