thermal_conductivity,temperature,pressure,state,refno,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,c_p,c_v,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,success
0.1484,293.23,101325.0,Liquid,40332,10707.669302571794,-141.42319397849946,-93.15230286820376,-11.203646843612148 m^-2 kg^-1 s^2 mol K,-4.071832398187224 m^-2 kg^-1 s^2 mol K,-50730.75598597342,-53159.34301588802,-25844.293245844627,-23415.706215930022,9.339100524516737e-05,204.04683106910025,177.43539455106193,-0.02070433216828217,-93.14425298632145,-93.12354865415317,-50720.65467151728,-53157.19556881466,10706.696596001331,9.339948984577312e-05,0.2659761873137646,3.759735072900824,-3.7596416734109783,-4.108077291675727e-07,2.0126972459500296e-05,3.0134774778064452e-05,7.314909125749699e-06,1.4972333687394845,0.0741224,2.7515,3.6139000000000003e-10,259.59,8.31446261815324,1
0.1463,298.19,101325.0,Liquid,40332,10657.83422926748,-137.9759494942965,-91.62367162923321,-11.019794764509282 m^-2 kg^-1 s^2 mol K,-4.005013543343369 m^-2 kg^-1 s^2 mol K,-50267.29981953656,-52737.08233663251,-25415.819693511465,-22946.03717641551,9.382769317746563e-05,206.99194904783627,179.96008220279825,-0.0251378232387289,-91.61553911984497,-91.59040129660625,-50255.23857662496,-52732.53056943437,10656.844890187645,9.383640376719343e-05,0.3755142893315458,2.663014506798405,-2.6629206703946378,-1.198827703774441e-07,2.046667258119047e-05,3.0388571637294633e-05,7.438369100923303e-06,1.4847832014092368,0.0741224,2.7515,3.6139000000000003e-10,259.59,8.31446261815324,1
0.1456,303.16,101325.0,Liquid,40332,10607.639260325343,-134.5301748441455,-90.09449231296249,-10.835876766858776 m^-2 kg^-1 s^2 mol K,-3.938170731186181 m^-2 kg^-1 s^2 mol K,-49795.75796378733,-52306.818372881404,-24993.7720832837,-22482.711674189617,9.427168246003582e-05,209.92881514286307,182.43566864844468,-0.030286277073876024,-90.0862753375381,-90.05598906046423,-49781.34774773533,-52299.33757759216,10606.633368023786,9.428062282370742e-05,0.5229959018207001,1.9120608718322851,-1.9119665912094614,-6.825659966125386e-07,2.0805687877252736e-05,3.0640771700594436e-05,7.561580184354983e-06,1.4727113028593775,0.0741224,2.7515,3.6139000000000003e-10,259.59,8.31446261815324,1
0.1448,308.16,101325.0,Liquid,40332,10556.826353111595,-131.07209449096,-88.55888148617781,-10.651185236292276 m^-2 kg^-1 s^2 mol K,-3.8710467876766406 m^-2 kg^-1 s^2 mol K,-49314.22706506035,-51866.81381046692,-24576.50889168636,-22023.922146279787,9.472543798215007e-05,212.86512570375177,184.8672735889446,-0.0362517047935456,-88.55058070630781,-88.51432900151427,-49297.00494088844,-51855.77074896886,10555.804253571694,9.4734610075934e-05,0.7199094333644491,1.3890636150252487,-1.3889688804151727,-4.2898136598523706e-07,2.1145263285368037e-05,3.089241657314679e-05,7.684994833860816e-06,1.460961547569073,0.0741224,2.7515,3.6139000000000003e-10,259.59,8.31446261815324,1
0.144,313.09,101325.0,Liquid,40332,10506.364238160402,-127.67081797365321,-87.04780403331166,-10.4694443923841 m^-2 kg^-1 s^2 mol K,-3.8049952361926582 m^-2 kg^-1 s^2 mol K,-48832.52090166251,-51426.05184827497,-24172.254883485428,-21578.723936872964,9.518040468917663e-05,215.73875895914819,187.20313277350945,-0.04297976574970659,-87.03942537183842,-86.99644560608871,-48812.02074998464,-51410.79217128967,10505.327023271342,9.518980206754208e-05,0.9739855509492332,1.02670927615447,-1.0266140863524025,-2.9069451557006687e-07,2.1478541402795483e-05,3.113854733110117e-05,7.806120807848621e-06,1.4497514867116819,0.0741224,2.7515,3.6139000000000003e-10,259.59,8.31446261815324,1
0.1435,318.05,101325.0,Liquid,40332,10455.182829747399,-124.25735381809724,-85.53090301304985,-10.287003134310497 m^-2 kg^-1 s^2 mol K,-3.738689127497909 m^-2 kg^-1 s^2 mol K,-48341.06793779584,-50975.79140782466,-23772.68770452416,-21137.964234495324,9.564634270715669e-05,218.60492213496275,189.48781467418337,-0.05067421448197593,-85.52245532390833,-85.47178110942636,-48316.6919400985,-50955.47223129322,10454.131826277411,9.565595848776357e-05,1.3041521957406788,0.766781671085606,-0.7666860151271182,-5.4687916417606175e-08,2.1812234595154142e-05,3.1384227967588217e-05,7.92739763589102e-06,1.4388359812781681,0.0741224,2.7515,3.6139000000000003e-10,259.59,8.31446261815324,1
0.1428,323.13,101325.0,Liquid,40332,10402.281724898225,-120.77030744245053,-83.98119297916556,-10.100615858901891 m^-2 kg^-1 s^2 mol K,-3.670948885663053 m^-2 kg^-1 s^2 mol K,-47830.77587769285,-50507.68753210119,-23370.844644743425,-20693.93299033509,9.613275495187418e-05,221.5112897621112,191.75636159524325,-0.059601486735332,-83.97269028285491,-83.91308879611958,-47801.74779510168,-50481.20723214941,10401.218809374204,9.614257889649815e-05,1.7375419065782174,0.575525687302313,-0.5754295447234166,-6.823975127190351e-07,2.2152271771375492e-05,3.163387470139512e-05,8.050980109531343e-06,1.4280194387228256,0.0741224,2.7515,3.6139000000000003e-10,259.59,8.31446261815324,1
0.1426,328.15,101325.0,Liquid,40332,10349.474241675693,-117.33358827362785,-82.45407051226854,-9.916945243369529 m^-2 kg^-1 s^2 mol K,-3.6041959815989566 m^-2 kg^-1 s^2 mol K,-47319.75519703928,-50038.35575278442,-22981.052514183484,-20262.451958438356,9.662326574746749e-05,224.351493833802,193.92401883276185,-0.06955176734466162,-82.445536497545,-82.37598473020034,-47285.36265926405,-50004.670761649104,10348.402676511356,9.663327097521867e-05,2.2809898059489564,0.4384061679679325,-0.4383095346969573,-2.581691660452634e-08,2.2486537926961006e-05,3.187865238666365e-05,8.172465174254409e-06,1.4176772115925256,0.0741224,2.7515,3.6139000000000003e-10,259.59,8.31446261815324,1
0.1415,333.08,101325.0,Liquid,40332,10297.048891607104,-113.96754555442287,-80.95889816541893,-9.737117344019167 m^-2 kg^-1 s^2 mol K,-3.5388396670976436 m^-2 kg^-1 s^2 mol K,-46811.52041323245,-49571.06142407813,-22605.271623140387,-19845.730612294716,9.711520364005242e-05,227.10752665356756,195.97843376771542,-0.08050388930364684,-80.950364518504,-80.86986062920036,-46771.024325245155,-49529.06966977634,10295.972962511858,9.712535217808448e-05,2.9487782048756306,0.3391235048965565,-0.3390263795443784,4.388075467431918e-07,2.2813093289225618e-05,3.211722600337908e-05,8.29114784271329e-06,1.4078417861267287,0.0741224,2.7515,3.6139000000000003e-10,259.59,8.31446261815324,1
0.14,338.18,101325.0,Liquid,40332,10242.174008785205,-110.49513493294779,-79.41740020222566,-9.551717753692348 m^-2 kg^-1 s^2 mol K,-3.4714583876766665 m^-2 kg^-1 s^2 mol K,-46279.290898913474,-49081.18294791096,-22223.806547522276,-19421.9144985248,9.763552143736788e-05,229.92171240091415,198.0236428614586,-0.09316072295300264,-79.40891065128899,-79.31574992833599,-46231.50528458248,-49029.1420996275,10241.099302679793,9.764576735803446e-05,3.8062305807302463,0.2627271203858975,-0.26262947461853947,1.3423596101347357e-07,2.3149109958668156e-05,3.23621755711731e-05,8.413269110909742e-06,1.3979878979776985,0.0741224,2.7515,3.6139000000000003e-10,259.59,8.31446261815324,1
