thermal_conductivity,temperature,pressure,state,refno,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,c_p,c_v,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,success
0.18828,273.149994,101325.0,Liquid,197522,44.913954383283816,-2.9151861643872317,-0.04858834513170772,-5.84383469661926e-3 m^-2 kg^-1 s^2 mol K,-3.8621602647672063e-3 m^-2 kg^-1 s^2 mol K,-28.401429261794508,-43.51646078285321,-30.24455460165731,-15.129523080598615,0.022264795289817153,31.244173437384458,22.718955565317934,-2.237078341445541,-21.684432905994182,-19.44735456454864,-9069.285934245554,-10519.349922736434,21294.872049801197,4.6959662291529746e-05,2150.296455064484,0.00046505215485276503,-0.0004180924925612353,4.0512531995773315e-08,2.2921134776280918e-05,2.8819052502590308e-05,1.5148459967140917e-05,1.2573135136578242,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
0.17991,293.149994,101325.0,Liquid,197522,41.79746145115552,-0.716666189128783,-0.04228820525490492,-5.086102036537597e-3 m^-2 kg^-1 s^2 mol K,-3.3613786508080085e-3 m^-2 kg^-1 s^2 mol K,-25.603143691375042,-38.79752501843289,-26.40073790168675,-13.2063565746289,0.02392489795507316,30.97950332934516,22.488454897094613,-4.040300725585575,-16.18282187643887,-12.142521150853295,-5985.5674419411225,-6994.263234652482,17535.236232563522,5.7028031258738704e-05,4284.6756968939235,0.00023338989243104836,-0.00017636186117230967,-7.636845111846924e-08,2.4401146875321393e-05,2.985547913720839e-05,1.612659234374555e-05,1.2235277009624226,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
0.16862,313.149994,101325.0,Liquid,197522,39.089936917691034,1.3195085640218722,-0.037207027503512694,-4.474976821986951e-3 m^-2 kg^-1 s^2 mol K,-2.9574891428107535e-3 m^-2 kg^-1 s^2 mol K,-23.23601652895133,-34.81058745822985,-23.159207018747015,-11.584636089468495,0.025582031562384727,30.723101331938906,22.258905792887283,-8.693484002895774,-8.693484002895774,0.0,0.0,0.0,10092.111177144232,9.90872952593622e-05,10092.111177144232,9.90872952593622e-05,0.0,0.0,2.5843437251643445e-05,3.085711395898057e-05,1.7079794628011002e-05,1.1940019301038718,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
0.1615,333.149994,101325.0,Liquid,197522,36.71501706268904,3.2138991984431926,-0.03305429738396502,-3.975518190652091e-3 m^-2 kg^-1 s^2 mol K,-2.6273995047598254e-3 m^-2 kg^-1 s^2 mol K,-21.21386889467564,-31.40711212624838,-20.395073151106214,-10.201829919533479,0.02723681152844217,30.47289958020002,22.030138306742856,-8.693484002895774,-8.693484002895774,0.0,0.0,0.0,10092.111177144232,9.90872952593622e-05,10092.111177144232,9.90872952593622e-05,0.0,0.0,2.724889773146638e-05,3.1827241935843936e-05,1.800865622329415e-05,1.1680194277763607,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
0.1705,290.149994,101325.0,Liquid,198006,42.236704862412125,-1.0355348836048435,-0.0431471060242084,-5.1894040548097365e-3 m^-2 kg^-1 s^2 mol K,-3.4296504228469612e-3 m^-2 kg^-1 s^2 mol K,-25.992962339404773,-39.4544833358229,-26.93535078178147,-13.47382978536334,0.023676089393278733,31.018616260439188,22.52296486193925,-3.6541219759988444,-17.164665815444494,-13.51054383944565,-6597.6381973050575,-7703.107922369559,18292.60154587233,5.4666909870217284e-05,3812.807495238485,0.0002622739283975971,-0.00020760701852737983,-2.7939677238464355e-08,2.418157880956122e-05,2.9702320741105412e-05,1.5981480939502495e-05,1.228303618015269,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
0.172,293.149994,101325.0,Liquid,198007,41.79746145115552,-0.716666189128783,-0.04228820525490492,-5.086102036537597e-3 m^-2 kg^-1 s^2 mol K,-3.3613786508080085e-3 m^-2 kg^-1 s^2 mol K,-25.603143691375042,-38.79752501843289,-26.40073790168675,-13.2063565746289,0.02392489795507316,30.97950332934516,22.488454897094613,-4.040300725585575,-16.18282187643887,-12.142521150853295,-5985.5674419411225,-6994.263234652482,17535.236232563522,5.7028031258738704e-05,4284.6756968939235,0.00023338989243104836,-0.00017636186117230967,-7.636845111846924e-08,2.4401146875321393e-05,2.985547913720839e-05,1.612659234374555e-05,1.2235277009624226,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
0.175,293.149994,101325.0,Liquid,197938,41.79746145115552,-0.716666189128783,-0.04228820525490492,-5.086102036537597e-3 m^-2 kg^-1 s^2 mol K,-3.3613786508080085e-3 m^-2 kg^-1 s^2 mol K,-25.603143691375042,-38.79752501843289,-26.40073790168675,-13.2063565746289,0.02392489795507316,30.97950332934516,22.488454897094613,-4.040300725585575,-16.18282187643887,-12.142521150853295,-5985.5674419411225,-6994.263234652482,17535.236232563522,5.7028031258738704e-05,4284.6756968939235,0.00023338989243104836,-0.00017636186117230967,-7.636845111846924e-08,2.4401146875321393e-05,2.985547913720839e-05,1.612659234374555e-05,1.2235277009624226,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
0.162,298.149994,101325.0,Liquid,197784,41.085592307936935,-0.19327872789519648,-0.04091663597364211,-4.92114016897586e-3 m^-2 kg^-1 s^2 mol K,-3.252356201821334e-3 m^-2 kg^-1 s^2 mol K,-24.974727106374644,-37.73871048964442,-25.539415719602843,-12.775432336333067,0.024339432482924667,30.914720998851582,22.430985479168502,-4.899392804083198,-14.258992905411214,-9.359600101328017,-4695.269407848549,-5492.4151649372925,15919.430554704479,6.281631723971948e-05,5352.834295417711,0.00018681691694735425,-0.00012400059970763477,-1.0244548320770264e-08,2.4765213088956745e-05,3.0109011879395717e-05,1.636720182998926e-05,1.2157784296563097,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
0.1598,326.950012,101325.0,Liquid,197940,37.41947419122728,2.6407248747314447,-0.03425631591546571,-4.120087790240679e-3 m^-2 kg^-1 s^2 mol K,-2.722944808830004e-3 m^-2 kg^-1 s^2 mol K,-21.808123436785408,-32.40713718047463,-21.207034280837323,-10.608020537148102,0.026724052692179267,30.549896854438,22.100981591696673,-8.693484002895774,-8.693484002895774,0.0,0.0,0.0,10092.111177144232,9.90872952593622e-05,10092.111177144232,9.90872952593622e-05,0.0,0.0,2.68171004578314e-05,3.152969570563891e-05,1.7723283628201308e-05,1.175730976405068,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
0.1721,273.149994,101325.0,Liquid,198008,44.913954383283816,-2.9151861643872317,-0.04858834513170772,-5.84383469661926e-3 m^-2 kg^-1 s^2 mol K,-3.8621602647672063e-3 m^-2 kg^-1 s^2 mol K,-28.401429261794508,-43.51646078285321,-30.24455460165731,-15.129523080598615,0.022264795289817153,31.244173437384458,22.718955565317934,-2.237078341445541,-21.684432905994182,-19.44735456454864,-9069.285934245554,-10519.349922736434,21294.872049801197,4.6959662291529746e-05,2150.296455064484,0.00046505215485276503,-0.0004180924925612353,4.0512531995773315e-08,2.2921134776280918e-05,2.8819052502590308e-05,1.5148459967140917e-05,1.2573135136578242,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
