viscosity,temperature,pressure,state,refno,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,success
0.0002384,219.2,980665.0,Liquid,34174,26533.620324901454,-94.08862112291155,-33.106616928102305,-3.9818107854402442 m^-2 kg^-1 s^2 mol K,-2.631558248258704 m^-2 kg^-1 s^2 mol K,-13627.829325205345,-15413.400194685615,-8156.429764045592,-6370.858894565319,3.768803456728116e-05,-0.4643934055994892,-33.069906406875575,-32.60551300127609,-13377.568249006545,-15039.710345243326,26516.525065989637,3.771233212162517e-05,348.9610789753629,0.002865649094553038,-0.0028279367624314132,-3.437744453549385e-07,1.8718567430075423e-05,2.581661959131959e-05,1.237100484440911e-05,1.3791984716650705,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
0.0002421,219.2,2991030.0,Liquid,34174,26619.57653836129,-94.30051342427284,-33.29161788938309,-4.0040612867386525 m^-2 kg^-1 s^2 mol K,-2.646263490012988 m^-2 kg^-1 s^2 mol K,-13674.035169083741,-15384.203332119854,-8086.6806907670825,-6376.512527730968,3.756633763722375e-05,-0.4643934055994892,-33.069906406875575,-32.60551300127609,-13377.568249006545,-15039.710345243326,26516.525065989637,3.771233212162517e-05,348.9610789753629,0.002865649094553038,-0.0028279367624314132,-3.437744453549385e-07,1.8718567430075423e-05,2.581661959131959e-05,1.237100484440911e-05,1.3791984716650705,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
0.0002219,224.25,1127760.0,Liquid,34174,26154.295415553028,-92.40837888037396,-32.07554716473866,-3.8578015967871524 m^-2 kg^-1 s^2 mol K,-2.549601213923173 m^-2 kg^-1 s^2 mol K,-13373.24567069571,-15194.644418214191,-8001.70296652155,-6180.304219003064,3.823463733629527e-05,-0.5505829255416113,-32.035255530056986,-31.484672604515374,-13073.36222360989,-14745.799827340334,26134.93081507422,3.826296717889973e-05,423.7424165981079,0.0023599242389473482,-0.0023216612717684485,-1.6996636986732483e-07,1.912685404422517e-05,2.6112312011436798e-05,1.2640839365689757e-05,1.3652172987287836,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
0.0002263,224.25,2941990.0,Liquid,34174,26238.991398211307,-92.61188583964396,-32.25217273374073,-3.879044769931793 m^-2 kg^-1 s^2 mol K,-2.5636407176867313 m^-2 kg^-1 s^2 mol K,-13418.63163441791,-15171.027045468345,-7938.4773099269905,-6186.081898876552,3.811122100021609e-05,-0.5505829255416113,-32.035255530056986,-31.484672604515374,-13073.36222360989,-14745.799827340334,26134.93081507422,3.826296717889973e-05,423.7424165981079,0.0023599242389473482,-0.0023216612717684485,-1.6996636986732483e-07,1.912685404422517e-05,2.6112312011436798e-05,1.2640839365689757e-05,1.3652172987287836,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
0.0002289,224.25,4903320.0,Liquid,34174,26327.874021292304,-92.82605953106197,-32.43822939952352,-3.901422243296887 m^-2 kg^-1 s^2 mol K,-2.5784298746261896 m^-2 kg^-1 s^2 mol K,-13466.15616211932,-15144.433768325769,-7870.16082548262,-6191.883219276169,3.7982557922879144e-05,-0.5505829255416113,-32.035255530056986,-31.484672604515374,-13073.36222360989,-14745.799827340334,26134.93081507422,3.826296717889973e-05,423.7424165981079,0.0023599242389473482,-0.0023216612717684485,-1.6996636986732483e-07,1.912685404422517e-05,2.6112312011436798e-05,1.2640839365689757e-05,1.3652172987287836,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
0.0002299,224.25,5982060.0,Liquid,34174,26375.642287945444,-92.94142028767239,-32.53851838848006,-3.9134842361835434 m^-2 kg^-1 s^2 mol K,-2.5864015836253675 m^-2 kg^-1 s^2 mol K,-13491.65153516786,-15129.367338330343,-7832.60458971369,-6194.888786551206,3.791376866136199e-05,-0.5505829255416113,-32.035255530056986,-31.484672604515374,-13073.36222360989,-14745.799827340334,26134.93081507422,3.826296717889973e-05,423.7424165981079,0.0023599242389473482,-0.0023216612717684485,-1.6996636986732483e-07,1.912685404422517e-05,2.6112312011436798e-05,1.2640839365689757e-05,1.3652172987287836,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
0.0002034,233.35,1225830.0,Liquid,34174,25425.557903929803,-89.37757170411965,-30.201222237755584,-3.6323721237036124 m^-2 kg^-1 s^2 mol K,-2.400616035756799 m^-2 kg^-1 s^2 mol K,-12891.9091215355,-14783.876462093142,-7736.421252912877,-5844.453912355233,3.933050373087148e-05,-0.7353457256022927,-30.177754462969844,-29.44240873736755,-12490.253507905207,-14169.628515151524,25413.618461892333,3.934898139355865e-05,590.454834693465,0.0016936096399636572,-0.0016542606585700985,-3.003515303134918e-08,1.9854086064845717e-05,2.6636858469680797e-05,1.3121463264057709e-05,1.3416310568354428,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
0.0002054,233.35,2059400.0,Liquid,34174,25472.306687697983,-89.4848502978853,-30.293227455024816,-3.6434378078608005 m^-2 kg^-1 s^2 mol K,-2.4079292894460385 m^-2 kg^-1 s^2 mol K,-12916.824116189096,-14776.155381265922,-7707.230754635879,-5847.899489559055,3.9258321292235244e-05,-0.7353457256022927,-30.177754462969844,-29.44240873736755,-12490.253507905207,-14169.628515151524,25413.618461892333,3.934898139355865e-05,590.454834693465,0.0016936096399636572,-0.0016542606585700985,-3.003515303134918e-08,1.9854086064845717e-05,2.6636858469680797e-05,1.3121463264057709e-05,1.3416310568354428,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
0.0002059,233.35,4118790.0,Liquid,34174,25584.56042473594,-89.74309792780966,-30.51491463551314,-3.6701006471409134 m^-2 kg^-1 s^2 mol K,-2.4255506226560795 m^-2 kg^-1 s^2 mol K,-12976.5555500285,-14755.748074788853,-7635.092744591864,-5855.90021983151,3.908607313937547e-05,-0.7353457256022927,-30.177754462969844,-29.44240873736755,-12490.253507905207,-14169.628515151524,25413.618461892333,3.934898139355865e-05,590.454834693465,0.0016936096399636572,-0.0016542606585700985,-3.003515303134918e-08,1.9854086064845717e-05,2.6636858469680797e-05,1.3121463264057709e-05,1.3416310568354428,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
0.0002097,233.35,5883990.0,Liquid,34174,25677.357960361565,-89.95727753963135,-30.698991492379907,-3.692240004225142 m^-2 kg^-1 s^2 mol K,-2.4401824097714244 m^-2 kg^-1 s^2 mol K,-13025.82871066275,-14736.857650389447,-7573.247985642595,-5862.219045915897,3.894481673479458e-05,-0.7353457256022927,-30.177754462969844,-29.44240873736755,-12490.253507905207,-14169.628515151524,25413.618461892333,3.934898139355865e-05,590.454834693465,0.0016936096399636572,-0.0016542606585700985,-3.003515303134918e-08,1.9854086064845717e-05,2.6636858469680797e-05,1.3121463264057709e-05,1.3416310568354428,0.0440098,1.5131,3.1869e-10,163.333,8.31446261815324,1
