,D,temperature,pressure,state,refno,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,c_p,c_v,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,success
0,3.954e-10,264.14,101325,Liquid,232490,4530.079855361065,-188.77032627857145,-108.03462179153797,-12.993578389018483 m^-2 kg^-1 s^2 mol K,-2.364635664139226 m^-2 kg^-1 s^2 mol K,-62559.75212535009,-64733.56712593098,-36197.30212591414,-34023.487125333246,0.00022074666052885643,443.1873231645907,389.54146993585607,-1.445761872298581e-05,-108.01247479068631,-108.0124603330676,-62553.63625072989,-64749.81330138756,4529.546658385061,0.00022077264578979617,0.0003116569978122599,3208.6556920579505,-3208.655471285305,-3.84460688840349e-08,2.514360059338727e-05,3.8528732678178986e-05,4.575756801393872e-06,1.5323474669062307,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
1,4.204e-10,266.5,101325,Liquid,232490,4519.058515811514,-184.8232027459431,-107.04627169093885,-12.87470719481271 m^-2 kg^-1 s^2 mol K,-2.343002896256335 m^-2 kg^-1 s^2 mol K,-62292.20711043406,-64485.58969249016,-35957.75828685496,-33764.375704798855,0.00022128503016748924,444.3109350997615,390.92768809970914,-1.8318782078197186e-05,-107.02414244155568,-107.0241241227736,-62286.03615344563,-64501.83391607535,4518.520872550164,0.00022131136011232358,0.00040085400937252643,2494.6738129558485,-2494.673591644488,1.7908306437774968e-07,2.5369949192236543e-05,3.870047041051523e-05,4.616948838979091e-06,1.52544532577771,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
2,4.372e-10,268.03,101325,Liquid,232490,4511.943386668241,-182.2775718091854,-106.41366449307417,-12.798622037308546 m^-2 kg^-1 s^2 mol K,-2.329156542960922 m^-2 kg^-1 s^2 mol K,-62119.66802428033,-64325.736376133915,-35803.681882055236,-33597.61353020166,0.00022163398657766204,445.04500684173735,391.8259880129343,-2.1296403454683766e-05,-106.39154470953058,-106.39152341312712,-62113.46048593601,-64341.97827341359,4511.402813498134,0.00022166054359145152,0.00047051904715184344,2125.3124736463333,-2125.3122519857898,1.2928220027852433e-07,2.5516524269340097e-05,3.881140282680633e-05,4.643623296500811e-06,1.521030153524513,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
3,5.594000000000001e-10,278.2,101325,Liquid,232490,4465.201291983391,-165.61171050207918,-102.36406727180861,-12.311567442532457 m^-2 kg^-1 s^2 mol K,-2.2405199387315755 m^-2 kg^-1 s^2 mol K,-60990.47452533136,-63280.86587962035,-34803.182364603206,-32512.7910103142,0.00022395406939332215,450.03771372631667,397.79353240375514,-5.492625140496128e-05,-102.34197029015102,-102.34191536389962,-60984.00293034065,-63297.06603801112,4464.640280213613,0.0002239822107128762,0.0012914982278097035,774.2945197036272,-774.2942957214165,-4.622693383637966e-08,2.648695136188508e-05,3.9540868128876434e-05,4.820226418733727e-06,1.4928433094710944,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
4,5.635000000000001e-10,278.52,101325,Liquid,232490,4463.745009426638,-165.09425927692521,-102.24085667231196,-12.29674861356477 m^-2 kg^-1 s^2 mol K,-2.237823134939066 m^-2 kg^-1 s^2 mol K,-60955.43008575446,-63248.47466484106,-34772.351264468736,-32479.306685382133,0.00022402713369338467,450.19801953465924,397.98130047023807,-5.6506891163216454e-05,-102.21875929229344,-102.21870278540227,-60948.94948802665,-63264.67261381645,4463.183326939923,0.00022405532704963444,0.0013312070586320069,751.1979398814439,-751.1977158261168,-5.169241332758645e-07,2.6517365267827168e-05,3.95636025669364e-05,4.82576129177049e-06,1.491988444830071,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
5,5.64e-10,278.56,101325,Liquid,232490,4463.563032030029,-165.0296067249285,-102.22547277953315,-12.294898356550538 m^-2 kg^-1 s^2 mol K,-2.2374864160158654 m^-2 kg^-1 s^2 mol K,-60951.051565052934,-63244.427797194214,-34768.500099727455,-32475.123867586175,0.00022403626717582164,450.2180715683555,398.0047718190068,-5.670730745625753e-05,-102.20337534498918,-102.20331863768173,-60944.56983853613,-63260.625465446465,4463.001265583475,0.00022406446704631707,0.0013362475783903667,748.3643122516204,-748.3640881871534,1.898991479620804e-07,2.6521166447420055e-05,3.956644345320488e-05,4.826453049234218e-06,1.491881721403466,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
6,5.661e-10,278.72,101325,Liquid,232490,4462.835250720975,-164.7710605317503,-102.16397587945536,-12.287501979550354 m^-2 kg^-1 s^2 mol K,-2.236140386745373 m^-2 kg^-1 s^2 mol K,-60933.54199735695,-63228.24484161448,-34753.10148449267,-32458.39864023514,0.0002240728021135105,450.2983103897176,398.0986580066066,-5.7515351660729664e-05,-102.1418782163033,-102.14182070095164,-60927.05574796473,-63244.44137678283,4462.273148167698,0.0002241010280624844,0.0013565828440846033,737.1462821902198,-737.1460580891918,-3.5710402634947513e-08,2.6536369920137048e-05,3.9577804959096826e-05,4.8292198523987525e-06,1.491455126613355,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
7,6.968e-10,288.09,101325,Liquid,232490,4420.55039953982,-149.80363665694662,-98.6671193885955,-11.866926814148195 m^-2 kg^-1 s^2 mol K,-2.159602037894397 m^-2 kg^-1 s^2 mol K,-59920.4581920539,-62292.85037384949,-33867.839949189016,-31495.447767393423,0.00022621617437143122,455.0830198314241,403.6008339028561,-0.0001271548931710595,-98.6449793109717,-98.64485215607854,-59913.681974958556,-62308.946710265234,4419.967856840212,0.00022624598919931724,0.003167793850980546,315.6771074893223,-315.67688124333307,-4.1039651677010625e-09,2.742304641538335e-05,4.023756850454093e-05,4.99058162668761e-06,1.4672902454035557,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
8,7.027000000000001e-10,288.49,101325,Liquid,232490,4418.758998786105,-149.17206837757527,-98.5222679994826,-11.849505196448376 m^-2 kg^-1 s^2 mol K,-2.156431565734487 m^-2 kg^-1 s^2 mol K,-59877.73673254479,-62253.445406884806,-33830.75631171407,-31455.047637374057,0.00022630788424413145,455.29102973640516,403.8359678220627,-0.00013134030643908719,-98.5001248536946,-98.49999351338816,-59870.94685267514,-62269.53570085983,4418.175549877063,0.00022633776967685799,0.0032795476332081112,304.92010235624554,-304.91987601847586,-7.96227732635657e-08,2.7460728823057865e-05,4.0265492841504486e-05,4.997439257621141e-06,1.4662936698058386,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
9,7.032e-10,288.52,101325,Liquid,232490,4418.62468587285,-149.1247244317409,-98.51141828921193,-11.848200276242592 m^-2 kg^-1 s^2 mol K,-2.1561940899010352 m^-2 kg^-1 s^2 mol K,-59874.53431980018,-62250.491730995964,-33827.97732619254,-31452.019914996752,0.0002263147633237968,455.3066428667261,403.8536039215469,-0.0001316590913190617,-98.48927490920154,-98.48914325011022,-59867.7434102908,-62266.58156489893,4418.041168885398,0.00022634465406131201,0.0032880703858598555,304.1297425689056,-304.1295162242516,7.123884060433738e-08,2.746355441983672e-05,4.0267586386138437e-05,4.997953473698939e-06,1.4662190396248733,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
