speed_of_sound_m_s,temperature,pressure,state,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,c_p,c_v,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,dp_drho_npt,dp_drho_nvt,dp_drho_tot,speed_of_sound,success
1261.2,303.15,100000.0,liquid,4353.741332636494,-126.41333008032198,-93.44396668151967,-11.238725937320394 m^-2 kg^-1 s^2 mol K,-2.045278935118799 m^-2 kg^-1 s^2 mol K,-58339.890161440686,-60837.45075326885,-32509.912253766175,-30012.351661938003,0.00022968750865004427,463.12620937771,412.4767029658344,-0.00039886069318165125,-93.42193368353324,-93.42153482284006,-58332.58380812316,-60852.95264395425,4353.130786231253,0.00022971972336851277,0.010799590001114466,92.59610780564863,-92.59587808592526,1.7346007297192045e-08,2.8831315266025927e-05,4.12758878315816e-05,5.246865357714328e-06,1.4316338831832633,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,163826.70606512713,161306.38602906943,163826.9153717626,1039.5825699112352,1
1319.3,303.15,9910000.0,liquid,4410.845149617643,-128.60098943978716,-95.52328224841435,-11.48881011742782 m^-2 kg^-1 s^2 mol K,-2.0907904911824327 m^-2 kg^-1 s^2 mol K,-58988.48687663676,-59262.28125950957,-30304.39824590277,-30030.603863029955,0.0002267139212734969,462.65714842648225,413.7406568389994,-0.00039886069318165125,-93.42193368353324,-93.42153482284006,-58332.58380812316,-60852.95264395425,4353.130786231253,0.00022971972336851277,0.010799590001114466,92.59610780564863,-92.59587808592526,1.7346007297192045e-08,2.8831315266025927e-05,4.12758878315816e-05,5.246865357714328e-06,1.4316338831832633,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,177883.53413692644,177365.68649056513,179886.2158332583,1087.1284871935397,1
1372.3,303.15,19710000.0,liquid,4463.106221103801,-130.6352429839888,-97.4596024750232,-11.721695911198932 m^-2 kg^-1 s^2 mol K,-2.1331721998338353 m^-2 kg^-1 s^2 mol K,-59566.083227900985,-57670.40578017502,-28125.52728987174,-30021.204737597705,0.00022405919789036152,462.53101812707786,414.93920880100785,-0.00039886069318165125,-93.42193368353324,-93.42153482284006,-58332.58380812316,-60852.95264395425,4353.130786231253,0.00022971972336851277,0.010799590001114466,92.59610780564863,-92.59587808592526,1.7346007297192045e-08,2.8831315266025927e-05,4.12758878315816e-05,5.246865357714328e-06,1.4316338831832633,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,187525.14385929992,192742.22823345618,195262.7575761493,1130.8481654976117,1
1421.1,303.15,29520000.0,liquid,4511.519456613626,-132.54857964464892,-99.28323423746075,-11.941028397998013 m^-2 kg^-1 s^2 mol K,-2.1730874106450297 m^-2 kg^-1 s^2 mol K,-60087.11355785852,-56064.39283061671,-25966.68037153049,-29989.4010987723,0.00022165481266717314,462.6507225065614,416.08773894671873,-0.00039886069318165125,-93.42193368353324,-93.42153482284006,-58332.58380812316,-60852.95264395425,4353.130786231253,0.00022971972336851277,0.010799590001114466,92.59610780564863,-92.59587808592526,1.7346007297192045e-08,2.8831315266025927e-05,4.12758878315816e-05,5.246865357714328e-06,1.4316338831832633,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,193106.45732933877,207572.0906757725,210092.62001846565,1171.5368573554076,1
1466.7,303.15,39330000.0,liquid,4556.680191963358,-134.35967269817422,-101.01151253950269,-12.14889249955384 m^-2 kg^-1 s^2 mol K,-2.2109155479846696 m^-2 kg^-1 s^2 mol K,-60560.676106942556,-54449.92163266588,-23828.281606315646,-29939.03608059233,0.00021945801721255434,462.9540660830233,417.1944701295024,-0.00039886069318165125,-93.42193368353324,-93.42153482284006,-58332.58380812316,-60852.95264395425,4353.130786231253,0.00022971972336851277,0.010799590001114466,92.59610780564863,-92.59587808592526,1.7346007297192045e-08,2.8831315266025927e-05,4.12758878315816e-05,5.246865357714328e-06,1.4316338831832633,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,194881.37573296938,221917.7569436301,224438.28628632327,1209.6634159567964,1
1509.4,303.15,49130000.0,liquid,4599.03919717485,-136.08260027312107,-102.65750571677336,-12.346859975368444 m^-2 kg^-1 s^2 mol K,-2.2469426484211796 m^-2 kg^-1 s^2 mol K,-60993.70942455213,-52831.572694257615,-21710.94983621777,-29873.086566512284,0.0002174367203946188,463.3983572124575,418.26549189013446,-0.00039886069318165125,-93.42193368353324,-93.42153482284006,-58332.58380812316,-60852.95264395425,4353.130786231253,0.00022971972336851277,0.010799590001114466,92.59610780564863,-92.59587808592526,1.7346007297192045e-08,2.8831315266025927e-05,4.12758878315816e-05,5.246865357714328e-06,1.4316338831832633,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,193070.53686832348,235825.95511885564,238346.48446154877,1245.5810636811455,1
1147.4,333.15,100000.0,liquid,4223.3135407385,-81.9202366364786,-84.26485262880334,-10.134732272994421 m^-2 kg^-1 s^2 mol K,-1.8443687075055 m^-2 kg^-1 s^2 mol K,-55343.48940745825,-58089.77453824987,-30016.938884964027,-27270.65375417241,0.00023678090446136693,480.42379773418344,430.3747446452693,-0.0026182182317996995,-84.24206337183904,-84.23944515360724,-55333.47908873407,-58102.29580396795,4222.619492555724,0.00023681982280500342,0.08241818654686663,12.133244395414545,-12.13300757559174,6.6245604557479965e-09,3.1568158831381356e-05,4.327006485039262e-05,5.744929686727721e-06,1.3706869976648306,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,143841.65032725144,141071.8895101333,143841.85273137107,971.2877150591803,1
1212.7,333.15,9910000.0,liquid,4287.758226340719,-84.18117127646131,-86.39987288701809,-10.391516187513838 m^-2 kg^-1 s^2 mol K,-1.8910995143756895 m^-2 kg^-1 s^2 mol K,-56079.319698699066,-56538.05185771873,-27753.93420540866,-27295.20204638899,0.00023322210516832828,479.3110590663655,431.6661880166834,-0.0026182182317996995,-84.24206337183904,-84.23944515360724,-55333.47908873407,-58102.29580396795,4222.619492555724,0.00023681982280500342,0.08241818654686663,12.133244395414545,-12.13300757559174,6.6245604557479965e-09,3.1568158831381356e-05,4.327006485039262e-05,5.744929686727721e-06,1.3706869976648306,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,158845.79048350532,158004.2965581793,160774.25977941707,1024.1400800001188,1
1271.1,333.15,19710000.0,liquid,4345.8249230870315,-86.24987307524013,-88.35673220950966,-10.626872266717214 m^-2 kg^-1 s^2 mol K,-1.9339307777885943 m^-2 kg^-1 s^2 mol K,-56722.668601048885,-54957.24432996243,-25521.19899436428,-27286.62326545075,0.00023010591031579243,478.69112076004956,432.8722929218687,-0.0026182182317996995,-84.24206337183904,-84.23944515360724,-55333.47908873407,-58102.29580396795,4222.619492555724,0.00023681982280500342,0.08241818654686663,12.133244395414545,-12.13300757559174,6.6245604557479965e-09,3.1568158831381356e-05,4.327006485039262e-05,5.744929686727721e-06,1.3706869976648306,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,169482.9072315973,174138.94141993506,176908.9046411728,1072.1092252285634,1
1324.5,333.15,29520000.0,liquid,4398.965613970198,-88.1706071101799,-90.17641368640211,-10.845729643370694 m^-2 kg^-1 s^2 mol K,-1.9737595257055 m^-2 kg^-1 s^2 mol K,-57294.383968764385,-53353.678685058476,-23311.406465433614,-27252.11174913953,0.00022732616886665547,478.4054155653766,434.0141951610791,-0.0026182182317996995,-84.24206337183904,-84.23944515360724,-55333.47908873407,-58102.29580396795,4222.619492555724,0.00023681982280500342,0.08241818654686663,12.133244395414545,-12.13300757559174,6.6245604557479965e-09,3.1568158831381356e-05,4.327006485039262e-05,5.744929686727721e-06,1.3706869976648306,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,176161.8017252051,189649.48100187746,192419.4442231152,1116.3154852072819,1
