viscosity,temperature,pressure,state,refno,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,success
0.001344,298.15,100000.0,Liquid,67745,4375.783980747133,-134.0928558310947,-95.1270572303936,-11.441155201383618 m^-2 kg^-1 s^2 mol K,-2.082118013849713 m^-2 kg^-1 s^2 mol K,-58858.399464679365,-61314.50344659021,-32952.37133334836,-30496.267351437524,0.00022853047691564915,-0.00027748459324525824,-95.10510019074037,-95.10482270614713,-58851.327028647676,-61330.17409454528,4375.185709669902,0.00022856172660050303,0.0073128056927900045,136.74642018533885,-136.74619162361225,-1.4744800225230392e-07,2.8366212283044193e-05,4.093408095511604e-05,5.162223616376496e-06,1.4430576964829476,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
0.002139,298.15,41620000.0,Liquid,67745,4585.481123882742,-142.45031233529974,-103.09531926711823,-12.399516842138038 m^-2 kg^-1 s^2 mol K,-2.256525405487581 m^-2 kg^-1 s^2 mol K,-61147.11527587048,-54549.5983487426,-23811.728909251306,-30409.245836379185,0.0002180796241405641,-0.00027748459324525824,-95.10510019074037,-95.10482270614713,-58851.327028647676,-61330.17409454528,4375.185709669902,0.00022856172660050303,0.0073128056927900045,136.74642018533885,-136.74619162361225,-1.4744800225230392e-07,2.8366212283044193e-05,4.093408095511604e-05,5.162223616376496e-06,1.4430576964829476,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
0.003154,298.15,81910000.0,Liquid,67745,4742.165257664657,-149.08465126304733,-109.45030220922035,-13.163845606841013 m^-2 kg^-1 s^2 mol K,-2.395621734615177 m^-2 kg^-1 s^2 mol K,-62686.82029656794,-47893.076871960875,-15260.469268281826,-30054.21269288889,0.00021087413568806406,-0.00027748459324525824,-95.10510019074037,-95.10482270614713,-58851.327028647676,-61330.17409454528,4375.185709669902,0.00022856172660050303,0.0073128056927900045,136.74642018533885,-136.74619162361225,-1.4744800225230392e-07,2.8366212283044193e-05,4.093408095511604e-05,5.162223616376496e-06,1.4430576964829476,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
0.00375,298.15,101540000.0,Liquid,67745,4808.264555964238,-152.00022067209758,-112.2507796421004,-13.500665622937502 m^-2 kg^-1 s^2 mol K,-2.456917907125348 m^-2 kg^-1 s^2 mol K,-63290.72153889843,-44651.87217117008,-11184.302220877844,-29823.151588606197,0.00020797524519726898,-0.00027748459324525824,-95.10510019074037,-95.10482270614713,-58851.327028647676,-61330.17409454528,4375.185709669902,0.00022856172660050303,0.0073128056927900045,136.74642018533885,-136.74619162361225,-1.4744800225230392e-07,2.8366212283044193e-05,4.093408095511604e-05,5.162223616376496e-06,1.4430576964829476,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
0.004497,298.15,121710000.0,Liquid,67745,4871.000495720456,-154.8387350997678,-114.98151255379886,-13.829097301220157 m^-2 kg^-1 s^2 mol K,-2.516687528429717 m^-2 kg^-1 s^2 mol K,-63838.48270703894,-41330.78656201493,-7049.048594099801,-29556.744739123806,0.00020529663277155813,-0.00027748459324525824,-95.10510019074037,-95.10482270614713,-58851.327028647676,-61330.17409454528,4375.185709669902,0.00022856172660050303,0.0073128056927900045,136.74642018533885,-136.74619162361225,-1.4744800225230392e-07,2.8366212283044193e-05,4.093408095511604e-05,5.162223616376496e-06,1.4430576964829476,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
0.005728,298.15,152180000.0,Liquid,67745,4957.741779246173,-158.887573222644,-118.8835921466723,-14.298409603419207 m^-2 kg^-1 s^2 mol K,-2.6020953024988733 m^-2 kg^-1 s^2 mol K,-64554.98992235918,-36338.52012738438,-893.3771288540397,-29109.846923828838,0.0002017047366577552,-0.00027748459324525824,-95.10510019074037,-95.10482270614713,-58851.327028647676,-61330.17409454528,4375.185709669902,0.00022856172660050303,0.0073128056927900045,136.74642018533885,-136.74619162361225,-1.4744800225230392e-07,2.8366212283044193e-05,4.093408095511604e-05,5.162223616376496e-06,1.4430576964829476,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
0.004378,298.15,119980000.0,Liquid,67745,4865.80139352272,-154.600734536519,-114.75239123970624,-13.801540341183754 m^-2 kg^-1 s^2 mol K,-2.511672576539912 m^-2 kg^-1 s^2 mol K,-63794.03103541612,-41615.17935138796,-7401.75390326955,-29580.60558729772,0.00020551599194557852,-0.00027748459324525824,-95.10510019074037,-95.10482270614713,-58851.327028647676,-61330.17409454528,4375.185709669902,0.00022856172660050303,0.0073128056927900045,136.74642018533885,-136.74619162361225,-1.4744800225230392e-07,2.8366212283044193e-05,4.093408095511604e-05,5.162223616376496e-06,1.4430576964829476,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
0.0031019999999999,298.15,80090000.0,Liquid,67745,4735.747071660274,-148.80545161917908,-109.1823632256985,-13.131619954285085 m^-2 kg^-1 s^2 mol K,-2.3897571509683573 m^-2 kg^-1 s^2 mol K,-62626.72544270592,-48193.8840193725,-15641.162423630485,-30074.003846963922,0.00021115992574523553,-0.00027748459324525824,-95.10510019074037,-95.10482270614713,-58851.327028647676,-61330.17409454528,4375.185709669902,0.00022856172660050303,0.0073128056927900045,136.74642018533885,-136.74619162361225,-1.4744800225230392e-07,2.8366212283044193e-05,4.093408095511604e-05,5.162223616376496e-06,1.4430576964829476,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
0.001343,298.15,100000.0,Liquid,67745,4375.783980747133,-134.0928558310947,-95.1270572303936,-11.441155201383618 m^-2 kg^-1 s^2 mol K,-2.082118013849713 m^-2 kg^-1 s^2 mol K,-58858.399464679365,-61314.50344659021,-32952.37133334836,-30496.267351437524,0.00022853047691564915,-0.00027748459324525824,-95.10510019074037,-95.10482270614713,-58851.327028647676,-61330.17409454528,4375.185709669902,0.00022856172660050303,0.0073128056927900045,136.74642018533885,-136.74619162361225,-1.4744800225230392e-07,2.8366212283044193e-05,4.093408095511604e-05,5.162223616376496e-06,1.4430576964829476,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
0.000911,323.15,100000.0,Liquid,67745,4266.541379525907,-96.47012611807035,-87.16328606072744,-10.483333687786505 m^-2 kg^-1 s^2 mol K,-1.9078089172235113 m^-2 kg^-1 s^2 mol K,-56322.0317614578,-58985.41216827095,-30818.596277746878,-28155.215870933727,0.000234381882430288,-0.0014719396645815615,-87.14080307720667,-87.13933113754209,-56313.27445258238,-58999.46553667943,4265.877064964525,0.00023441838214536452,0.044157105319780766,22.6464120045486,-22.646177586166456,-6.49858975521056e-07,3.066614848352918e-05,4.261570892131863e-05,5.5807773820972634e-06,1.3896661637899383,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
0.0014219999999999,323.15,42210000.0,Liquid,67745,4496.938541626545,-104.975502561104,-95.2313772814301,-11.453702019599955 m^-2 kg^-1 s^2 mol K,-2.08440134588786 m^-2 kg^-1 s^2 mol K,-58836.34287453014,-52136.775685285094,-21362.756116790955,-28062.323306036003,0.00022237350827532091,-0.0014719396645815615,-87.14080307720667,-87.13933113754209,-56313.27445258238,-58999.46553667943,4265.877064964525,0.00023441838214536452,0.044157105319780766,22.6464120045486,-22.646177586166456,-6.49858975521056e-07,3.066614848352918e-05,4.261570892131863e-05,5.5807773820972634e-06,1.3896661637899383,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
0.002012,323.15,81440000.0,Liquid,67745,4657.663682046666,-111.2554831300935,-101.21937782348465,-12.173892946789975 m^-2 kg^-1 s^2 mol K,-2.215465253030045 m^-2 kg^-1 s^2 mol K,-60398.67826521772,-45600.33572381906,-12891.293780159996,-27689.63632155866,0.0002146999157226786,-0.0014719396645815615,-87.14080307720667,-87.13933113754209,-56313.27445258238,-58999.46553667943,4265.877064964525,0.00023441838214536452,0.044157105319780766,22.6464120045486,-22.646177586166456,-6.49858975521056e-07,3.066614848352918e-05,4.261570892131863e-05,5.5807773820972634e-06,1.3896661637899383,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
0.002762,323.15,121700000.0,Liquid,67745,4793.093394123651,-116.81172325467325,-106.53730849723331,-12.813492992875679 m^-2 kg^-1 s^2 mol K,-2.331862833009827 m^-2 kg^-1 s^2 mol K,-61582.70017126335,-38878.818024038075,-4451.286783157132,-27155.168930382413,0.00020863353116089986,-0.0014719396645815615,-87.14080307720667,-87.13933113754209,-56313.27445258238,-58999.46553667943,4265.877064964525,0.00023441838214536452,0.044157105319780766,22.6464120045486,-22.646177586166456,-6.49858975521056e-07,3.066614848352918e-05,4.261570892131863e-05,5.5807773820972634e-06,1.3896661637899383,0.170203,5.49496,3.8329100000000004e-10,244.83939,8.31446261815324,1
