thermal_conductivity,temperature,pressure,state,refno,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,c_p,c_v,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,success
0.1562,183.149994,101325.0,Liquid,197622,7714.188009938618,-226.01886477992323,-93.33460596448619,-11.225572866333618 m^-2 kg^-1 s^2 mol K,-3.222868383432465 m^-2 kg^-1 s^2 mol K,-42921.462740933006,-44431.121630980415,-27336.889108592404,-25827.230218544995,0.0001296312714587257,242.82166694797735,201.58305258786123,-3.062398319994827e-06,-93.31853813466479,-93.31853507226647,-42918.372702632885,-44441.1656602063,7713.445958367883,0.0001296437422907146,0.00012222973629448012,8181.31520459772,-8181.315074953978,-4.786461790806662e-08,1.3654772805647024e-05,2.4980354522024948e-05,3.920293073884478e-06,1.8294229334737926,0.100203,3.4831,3.8049e-10,238.4,8.31446261815324,1
0.1552,193.149994,101325.0,Liquid,197622,7616.892296823722,-213.0316881975433,-88.95993780320575,-10.699421224045986 m^-2 kg^-1 s^2 mol K,-3.071809946325396 m^-2 kg^-1 s^2 mol K,-42078.9582540606,-43671.59398948059,-26488.98253655103,-24896.346801131032,0.00013128713929918694,245.78871861266842,205.4420444508488,-1.1864347386168678e-05,-88.94406738876688,-88.9440555244195,-42075.726731388975,-43681.66177036866,7616.127429483617,0.00013130032411600567,0.0005185100878701737,1928.6027859314925,-1928.6026546311684,1.6586013096286933e-07,1.4426177674445346e-05,2.565325585868918e-05,4.141763852443325e-06,1.7782434431077039,0.100203,3.4831,3.8049e-10,238.4,8.31446261815324,1
0.1536,203.149994,101325.0,Liquid,197622,7522.765167898207,-200.55136134283148,-84.90020916148293,-10.211148099471577 m^-2 kg^-1 s^2 mol K,-2.931626453294932 m^-2 kg^-1 s^2 mol K,-41254.454400111,-42930.06831466157,-25682.59133290757,-24006.977418356993,0.00013292984397110868,248.72389623370904,209.20284863384757,-3.9086841072707674e-05,-84.88448249415976,-84.88444340731868,-41251.06338286694,-42940.13472399001,7521.974042633038,0.0001329438248965233,0.0018597343473921856,537.7112066582257,-537.7110737144008,-4.2158961388594207e-07,1.5194724926971872e-05,2.6308952093473603e-05,4.362414207737898e-06,1.7314530022700887,0.100203,3.4831,3.8049e-10,238.4,8.31446261815324,1
0.1515,213.149994,101325.0,Liquid,197622,7431.347295958442,-188.5298766505195,-81.12555667083946,-9.757161754953994 m^-2 kg^-1 s^2 mol K,-2.8012867144078535 m^-2 kg^-1 s^2 mol K,-40447.993320605485,-42206.58616891175,-24914.674251275665,-23156.081402969397,0.00013456510107445155,251.66056333419326,212.87758607008706,-0.00011224936909329961,-81.1099212556906,-81.1098090063215,-40444.40781965275,-42216.60020462618,7430.526531558547,0.0001345799649261532,0.005784425037789953,172.87802909830233,-172.8778945183374,-9.9697032851509e-09,1.596068901792697e-05,2.6948699121887268e-05,4.582322935869475e-06,1.6884420899134507,0.100203,3.4831,3.8049e-10,238.4,8.31446261815324,1
0.1487,223.149994,101325.0,Liquid,197622,7342.219036671334,-176.92439248804442,-77.60891296009969,-9.334206734017132 m^-2 kg^-1 s^2 mol K,-2.6798560862499303 m^-2 kg^-1 s^2 mol K,-39659.32297398181,-41500.89493355178,-24182.466472159012,-22340.894512589042,0.00013619860630763198,254.6280341326557,216.48078026752682,-0.0002867234902820502,-77.59331754066864,-77.59303081717836,-39655.47356697984,-41510.75147725215,7341.365259685328,0.00013621444576411974,0.015927679917499767,62.783783022993724,-62.78364680854796,-5.233198621112933e-07,1.672514756248937e-05,2.7573607099313755e-05,4.801799420771546e-06,1.6486316187221548,0.100203,3.4831,3.8049e-10,238.4,8.31446261815324,1
0.1454,233.149994,101325.0,Liquid,197622,7254.993623711012,-165.69651419411113,-74.32568597167898,-8.939325291979937 m^-2 kg^-1 s^2 mol K,-2.5664853986333833 m^-2 kg^-1 s^2 mol K,-38887.93559448106,-40812.48626155586,-23483.453023213016,-21558.902356138227,0.00013783609633118995,257.6512251652101,220.02755872357224,-0.000662316025624275,-74.3100813458899,-74.30941902986427,-38883.68880236642,-40821.97801069356,7254.103471255681,0.00013785301022552145,0.03949173072446978,25.32175677427027,-25.321618921260043,3.912828958618775e-07,1.7488764033541183e-05,2.8184663073605198e-05,5.021034145887624e-06,1.6115869034284338,0.100203,3.4831,3.8049e-10,238.4,8.31446261815324,1
0.1422,243.149994,101325.0,Liquid,197622,7169.311844738723,-154.81172960209864,-71.25351363641042,-8.569827890120074 m^-2 kg^-1 s^2 mol K,-2.4604024834544154 m^-2 kg^-1 s^2 mol K,-38133.108012299424,-40140.63639239521,-22815.34497922311,-20807.81659912732,0.0001394834011487254,260.7508016597525,223.53249894513513,-0.0014026681086512847,-71.2378544902898,-71.23645182218115,-38128.220946677175,-40149.38008396133,7168.38204639001,0.00013950149329772384,0.08942237959829058,11.182882903499879,-11.182743402006581,-7.012937430772581e-08,1.8251304170270543e-05,2.8782749289773602e-05,5.239959854804784e-06,1.5770242510481898,0.100203,3.4831,3.8049e-10,238.4,8.31446261815324,1
0.139,253.149994,101325.0,Liquid,197622,7084.8375936024195,-144.23894641284747,-68.37205951926455,-8.223268617503383 m^-2 kg^-1 s^2 mol K,-2.3609051182864067 m^-2 kg^-1 s^2 mol K,-37393.939766386095,-39484.444259592805,-22176.05780252334,-20085.55330931663,0.00014114649584953028,263.94359847496094,227.00894713064312,-0.0027549792659720654,-68.35630767344283,-68.35355269417686,-37387.9967838168,-39491.77736317971,7083.865168998186,0.00014116587147598435,0.18711172246761001,5.34440059025754,-5.344259424386064,1.5623515992047032e-07,1.9011728769353785e-05,2.9368658137260568e-05,5.458278191655073e-06,1.5447652600957453,0.100203,3.4831,3.8049e-10,238.4,8.31446261815324,1
0.1357,263.149994,101325.0,Liquid,197622,7001.253944659123,-133.95010000875743,-65.66283160457914,-7.897423395856674 m^-2 kg^-1 s^2 mol K,-2.2673547689864417 m^-2 kg^-1 s^2 mol K,-36669.38681860204,-38842.865199196334,-21563.691456428325,-19390.213075834035,0.00014283155673318289,267.24317423484223,230.46866869281737,-0.00506707182606618,-65.64696116295434,-65.64189409112828,-36661.717993976716,-38847.71259085887,7000.236566668656,0.00014285231512910001,0.3654261770345523,2.7365308312476104,-2.7363879789324814,-1.5778823581058532e-08,1.9768550359568392e-05,2.994310446310802e-05,5.6755621026006695e-06,1.514683875068003,0.100203,3.4831,3.8049e-10,238.4,8.31446261815324,1
0.1324,273.149994,101325.0,Liquid,197622,6918.259530205981,-123.91981269442778,-63.109015433661995,-7.590269910634272 m^-2 kg^-1 s^2 mol K,-2.179170827893047 m^-2 kg^-1 s^2 mol K,-35958.289858239164,-38214.73924779529,-20976.512060744608,-18720.062671188483,0.00014454502546975518,270.6604128050994,233.92172205400377,-0.008799113289603717,-63.09302039205352,-63.08422127876391,-35947.87347897934,-38215.453237381815,6917.1961164066715,0.0001445672470711265,0.6717777090282935,1.488587648206533,-1.4884430809594618,1.5390924090752378e-08,2.0520211925535697e-05,3.0506735797097634e-05,5.891364567636788e-06,1.486667677107883,0.100203,3.4831,3.8049e-10,238.4,8.31446261815324,1
0.1292,283.149994,101325.0,Liquid,197622,6835.565073189711,-114.12509250683186,-60.695317537836395,-7.299968780341655 m^-2 kg^-1 s^2 mol K,-2.0958252075282524 m^-2 kg^-1 s^2 mol K,-35259.39688418498,-37598.8137170492,-20412.93492038273,-18073.518087518514,0.0001462936844712628,274.2041241571184,237.37647546216368,-0.014528321852218305,-60.67922246703984,-60.664694145187624,-35244.7502905248,-37592.99425360645,6834.456681529332,0.00014631740994168276,1.1709437593308285,0.8540119813879707,-0.8538656639780291,3.825607564067468e-08,2.126536516834516e-05,3.106014090597846e-05,6.10529848937589e-06,1.460597580154111,0.100203,3.4831,3.8049e-10,238.4,8.31446261815324,1
0.1259,293.149994,101325.0,Liquid,197622,6752.889961809981,-104.54506381981638,-58.40781741623588,-7.024845753556239 m^-2 kg^-1 s^2 mol K,-2.0168372293520824 m^-2 kg^-1 s^2 mol K,-34571.380125140284,-36993.76010479813,-19871.508779675485,-17449.128800017643,0.00014808474677587807,277.88162199967655,240.83970947839887,-0.02294637138307194,-58.39169190022806,-58.36874552884499,-34550.44459039979,-36978.064230582066,6751.741081266172,0.0001481099449702931,1.9474025131637944,0.5135045237131677,-0.5133564137681974,2.7973237592959777e-07,2.2003017625988294e-05,3.160385699886257e-05,6.317078931408313e-06,1.4363419389136194,0.100203,3.4831,3.8049e-10,238.4,8.31446261815324,1
0.1226,303.149994,101325.0,Liquid,197622,6669.958764593825,-95.16072425420852,-56.23382728731194,-6.763374840910917 m^-2 kg^-1 s^2 mol K,-1.9417687809453983 m^-2 kg^-1 s^2 mol K,-33892.847514934045,-36398.18555940204,-19350.901154656385,-16845.563110188392,0.0001499259643565272,281.6992724056814,244.31676539952446,-0.03485058376326417,-56.21780490104251,-56.18295431727925,-33862.873223604205,-36368.13580730958,6668.779111011184,0.00014995248505814888,3.1070662678092322,0.32184701380865366,-0.3216970613235955,1.7711136024445295e-07,2.2732568101156716e-05,3.21383758349714e-05,6.526533289643339e-06,1.4137591358776607,0.100203,3.4831,3.8049e-10,238.4,8.31446261815324,1
0.1194,313.149994,101325.0,Liquid,197622,6586.497581048424,-85.95472364350765,-54.161759118230314,-6.5141623224064 m^-2 kg^-1 s^2 mol K,-1.8702197245001293 m^-2 kg^-1 s^2 mol K,-33222.3489513196,-35810.63912519066,-18849.884582287395,-16261.594408416327,0.00015182575985108344,285.66301917066164,247.81171294436504,-0.05113101773586802,-54.146061902510176,-54.09493088477431,-33179.785525105006,-35760.439594980075,6585.304535947742,0.0001518532657891853,4.778434553847532,0.20927355784224633,-0.20912170457645715,2.3611937649548054e-07,2.3453767725110573e-05,3.266414893143845e-05,6.733590113723572e-06,1.392703693252102,0.100203,3.4831,3.8049e-10,238.4,8.31446261815324,1
0.1162,323.149994,101325.0,Liquid,197622,6502.230106775338,-76.91116142112021,-52.18099834674426,-6.275931559643526 m^-2 kg^-1 s^2 mol K,-1.801823536402494 m^-2 kg^-1 s^2 mol K,-32558.377475238798,-35229.61290533295,-18367.323602668537,-15696.088172574382,0.0001537933883573265,289.7789002420696,251.32751994400397,-0.07275607020918394,-52.165968017003784,-52.093211946794604,-32498.77417761729,-35151.97961218531,6501.051977947664,0.00015382125898887104,7.113317873991042,0.14058137394033451,-0.14042755268134563,9.360519470646977e-09,2.4166643176309086e-05,3.3181592028118694e-05,6.938257063049894e-06,1.3730327288751087,0.100203,3.4831,3.8049e-10,238.4,8.31446261815324,1
0.113,333.149994,101325.0,Liquid,197622,6416.87326252147,-68.0153990171114,-50.28178342763505,-6.047508508589981 m^-2 kg^-1 s^2 mol K,-1.7362431479400482 m^-2 kg^-1 s^2 mol K,-31899.36533353081,-34653.53810419058,-17902.16225696466,-15147.98948630489,0.00015583913832935143,294.05357723911175,254.86621337227183,-0.1007592136450207,-50.26792098399397,-50.16716177034895,-31817.28342512051,-34539.54745157712,6415.753606664062,0.0001558663348544584,10.287380469537588,0.09720647573608691,-0.09705060940123246,-1.1787778930738568e-07,2.4871409720924343e-05,3.369108893499627e-05,7.140595940663301e-06,1.354611150434787,0.100203,3.4831,3.8049e-10,238.4,8.31446261815324,1
