,temperature,pressure,state,D,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,success
0,299.15,100000.0,L,4.4e-09,7528.292245448246,-92.14216798761733,-49.27547855589015,-5.926477851774254 m^-2 kg^-1 s^2 mol K,-1.93823584779183 m^-2 kg^-1 s^2 mol K,-29172.397514278255,-31646.385781467197,-16905.626371472656,-14431.638104283711,0.00013283225031608195,-0.07116120325365405,-49.26262528724462,-49.191464083990965,-29118.07439430318,-31573.79771069603,7527.0596840792505,0.00013285400169140883,8.57184399449444,0.11666101257119053,-0.11652815856949912,1.9406070350669324e-07,2.0951866692893627e-05,2.9710060114942675e-05,6.852241772938452e-06,1.4180149458959481,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
1,299.15,10000000.0,L,4.01e-09,7671.753045961694,-93.81085729980475,-50.78721637747705,-6.1082981197836705 m^-2 kg^-1 s^2 mol K,-1.9976995917093856 m^-2 kg^-1 s^2 mol K,-29659.41635629805,-30843.204806234833,-15650.209026912575,-14466.42057697579,0.00013034830422837794,-0.07116120325365405,-49.26262528724462,-49.191464083990965,-29118.07439430318,-31573.79771069603,7527.0596840792505,0.00013285400169140883,8.57184399449444,0.11666101257119053,-0.11652815856949912,1.9406070350669324e-07,2.0951866692893627e-05,2.9710060114942675e-05,6.852241772938452e-06,1.4180149458959481,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
2,299.15,16800000.0,L,3.67e-09,7759.696050920591,-94.8480906273217,-51.729681321444374,-6.221650598139831 m^-2 kg^-1 s^2 mol K,-2.034771161447925 m^-2 kg^-1 s^2 mol K,-29949.99910403851,-30272.23734112188,-14797.303173811797,-14475.06493672843,0.00012887102709150088,-0.07116120325365405,-49.26262528724462,-49.191464083990965,-29118.07439430318,-31573.79771069603,7527.0596840792505,0.00013285400169140883,8.57184399449444,0.11666101257119053,-0.11652815856949912,1.9406070350669324e-07,2.0951866692893627e-05,2.9710060114942675e-05,6.852241772938452e-06,1.4180149458959481,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
3,299.15,24200000.0,L,3.54e-09,7847.75975281983,-95.89807834482956,-52.68584078953807,-6.3366501491638605 m^-2 kg^-1 s^2 mol K,-2.0723814010960844 m^-2 kg^-1 s^2 mol K,-30234.55038783951,-29638.139305385914,-13877.170033195607,-14473.5811156492,0.00012742489977992554,-0.07116120325365405,-49.26262528724462,-49.191464083990965,-29118.07439430318,-31573.79771069603,7527.0596840792505,0.00013285400169140883,8.57184399449444,0.11666101257119053,-0.11652815856949912,1.9406070350669324e-07,2.0951866692893627e-05,2.9710060114942675e-05,6.852241772938452e-06,1.4180149458959481,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
4,323.15,100000.0,L,5.59e-09,7279.0088170277495,-73.00621870227981,-44.87267099497205,-5.396941817622713 m^-2 kg^-1 s^2 mol K,-1.7650527616890506 m^-2 kg^-1 s^2 mol K,-27716.629874169397,-30389.71033502167,-15889.10670299646,-13216.026242144182,0.00013738134203941408,-0.15341183463275612,-44.864428452184484,-44.71101661755173,-27598.91600165696,-30213.343039440526,7278.155818000307,0.00013739744311695056,20.59620358176255,0.04855263719016044,-0.04841523974704349,2.308297553099692e-07,2.255859258146757e-05,3.087884923634432e-05,7.377716395926686e-06,1.3688287123777412,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
5,323.15,10000000.0,L,5.06e-09,7446.546995285067,-74.83285479191856,-46.51010539365939,-5.593879908980809 m^-2 kg^-1 s^2 mol K,-1.8294607419452644 m^-2 kg^-1 s^2 mol K,-28291.865370908166,-29635.77966329478,-14606.039105333753,-13262.124812947139,0.00013429043026696406,-0.15341183463275612,-44.864428452184484,-44.71101661755173,-27598.91600165696,-30213.343039440526,7278.155818000307,0.00013739744311695056,20.59620358176255,0.04855263719016044,-0.04841523974704349,2.308297553099692e-07,2.255859258146757e-05,3.087884923634432e-05,7.377716395926686e-06,1.3688287123777412,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
6,323.15,16500000.0,L,4.770000000000001e-09,7542.667527987969,-75.89583015723755,-47.46644387953344,-5.708900990894877 m^-2 kg^-1 s^2 mol K,-1.8670780232029518 m^-2 kg^-1 s^2 mol K,-28612.803370050802,-29112.066973616966,-13773.285633945738,-13274.02203037957,0.0001325790903933364,-0.15341183463275612,-44.864428452184484,-44.71101661755173,-27598.91600165696,-30213.343039440526,7278.155818000307,0.00013739744311695056,20.59620358176255,0.04855263719016044,-0.04841523974704349,2.308297553099692e-07,2.255859258146757e-05,3.087884923634432e-05,7.377716395926686e-06,1.3688287123777412,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
7,323.15,24300000.0,L,4.5400000000000005e-09,7647.217301476863,-77.06485572668824,-48.521013161726614,-5.835736522019966 m^-2 kg^-1 s^2 mol K,-1.908559182729561 m^-2 kg^-1 s^2 mol K,-28953.748207012162,-28462.94034763153,-12783.37494441958,-13274.18280380021,0.0001307665207587178,-0.15341183463275612,-44.864428452184484,-44.71101661755173,-27598.91600165696,-30213.343039440526,7278.155818000307,0.00013739744311695056,20.59620358176255,0.04855263719016044,-0.04841523974704349,2.308297553099692e-07,2.255859258146757e-05,3.087884923634432e-05,7.377716395926686e-06,1.3688287123777412,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
9,348.15,9900000.0,L,6.29e-09,7204.352381584849,-55.839473445903884,-42.485556063536336,-5.109837883061283 m^-2 kg^-1 s^2 mol K,-1.671156327427941 m^-2 kg^-1 s^2 mol K,-26894.45345507838,-28414.964297426613,-13623.617953906445,-12103.107111558204,0.00013880498163250797,-0.2980222889705076,-40.6853617589325,-40.387339469961994,-25969.99798549507,-28716.02490220146,7006.037386065378,0.00014273403707335973,44.333136250958994,0.02255649125158314,-0.02241375721450978,2.1964660845696926e-07,2.4186224320708552e-05,3.2051047419861815e-05,7.91002821129206e-06,1.3251777952137533,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
10,348.15,16600000.0,L,5.88e-09,7319.387545848245,-57.03676797408094,-43.55113856996205,-5.2379980006014355 m^-2 kg^-1 s^2 mol K,-1.7130706887545712 m^-2 kg^-1 s^2 mol K,-27282.56971369646,-27909.30055522067,-12746.971662088381,-12120.240820564175,0.0001366234529509545,-0.2980222889705076,-40.6853617589325,-40.387339469961994,-25969.99798549507,-28716.02490220146,7006.037386065378,0.00014273403707335973,44.333136250958994,0.02255649125158314,-0.02241375721450978,2.1964660845696926e-07,2.4186224320708552e-05,3.2051047419861815e-05,7.91002821129206e-06,1.3251777952137533,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
