thermal_conductivity,temperature,pressure,state,refno,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,c_p,c_v,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,success
0.1174,301.73,101325.0,Liquid,172620,7501.951659244898,-90.04668344822697,-48.7807843944329,-5.866979819949903 m^-2 kg^-1 s^2 mol K,-1.9187772045573006 m^-2 kg^-1 s^2 mol K,-29015.06421532645,-31510.28053577609,-16791.65446044385,-14296.43813999421,0.0001332986461953094,244.5100364871059,209.15328441730085,-0.07786491015649114,-48.76799794062362,-48.69013303046713,-28955.623697699884,-31429.578416718796,7500.715132178046,0.0001333206210845154,9.494487684501642,0.10532427164367733,-0.10519095102259282,-7.710696081630886e-08,2.1126757459360355e-05,2.983790132167811e-05,6.909439245280666e-06,1.4123275367303572,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.1175,302.39,101325.0,Liquid,172620,7495.194167660858,-89.5121688413726,-48.65508688492176,-5.851861884457993 m^-2 kg^-1 s^2 mol K,-1.913832931542553 m^-2 kg^-1 s^2 mol K,-28974.84496273515,-31475.53665138181,-16762.724928250318,-14262.033239603657,0.00013341882513393053,244.74900368062364,209.34988555535693,-0.07965392786133862,-48.6423789843574,-48.56272505649606,-28914.053242465223,-31392.632140741738,7493.96259773763,0.00013344075139925203,9.7427758845958,0.10264015223639594,-0.1025067114849967,-1.2418240658007562e-07,2.1171412780731695e-05,2.987051700055931e-05,6.9240436269794324e-06,1.4108891697461377,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.1178,303.05,101325.0,Liquid,172620,7488.430787080094,-88.97829787034725,-48.529753383145206,-5.836787729033575 m^-2 kg^-1 s^2 mol K,-1.9089029766604904 m^-2 kg^-1 s^2 mol K,-28934.644004201724,-31440.81102842751,-16733.86926566535,-14227.70224143957,0.00013353932598606847,244.98863831447343,209.54654707860874,-0.08147378836732715,-48.51712672302564,-48.435652934658314,-28872.475890872764,-31355.662391760387,7487.204467174846,0.0001335611982261426,9.99620783591001,0.10003793602686378,-0.09990437482863763,1.004882506094873e-07,2.1216033767234663e-05,2.9903097105136216e-05,6.93863677956803e-06,1.4094574618992908,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.1164,304.91,101325.0,Liquid,172620,7469.337690655339,-87.4771785830731,-48.17847471549214,-5.794538616398671 m^-2 kg^-1 s^2 mol K,-1.8950855379229354 m^-2 kg^-1 s^2 mol K,-28821.444959373548,-31343.04229649805,-16652.943570997344,-14131.346233872837,0.0001338806787717028,245.66758949309542,210.1011066955728,-0.08677128199868674,-48.16609202694075,-48.079320744942066,-28755.259708238606,-31251.340242177263,7468.127811463969,0.00013390236820330623,10.738758979000592,0.09312062985634356,-0.09298672748814026,2.704546204768121e-07,2.134159900588772e-05,2.9994723369020714e-05,6.979702493957063e-06,1.4054581083988025,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.1165,305.25,101325.0,Liquid,172620,7465.842201944813,-87.203321963841,-48.11456761666227,-5.786852359118454 m^-2 kg^-1 s^2 mol K,-1.8925717717757444 m^-2 kg^-1 s^2 mol K,-28800.767194775613,-31325.185097875885,-16638.21333288973,-14113.795429789454,0.0001339433613718095,245.79227990509133,210.20253168693546,-0.08776698946683148,-48.10223200510158,-48.01446501563475,-28733.82518465858,-31232.24789928798,7464.635600854761,0.00013396501228881045,10.879111445234745,0.09191927162746538,-0.09178530661517657,-1.5683326637372375e-08,2.1364522293294427e-05,3.0011442014797432e-05,6.987199482642782e-06,1.4047326498948665,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.1165,305.26,101325.0,Liquid,172620,7465.739367895928,-87.19526987247635,-48.11268941129895,-5.7866264629361535 m^-2 kg^-1 s^2 mol K,-1.8924978931433822 m^-2 kg^-1 s^2 mol K,-28800.159091210582,-31324.65995199715,-16637.78038230403,-14113.279521517465,0.00013394520632479973,245.7959500028925,210.20551503035762,-0.08779640443931078,-48.100355196265795,-48.012558791826486,-28733.194717054666,-31231.686249164082,7464.532864535096,0.00013396685608434007,10.883261413074786,0.09188422128670304,-0.0917502544306187,1.7889760783873498e-07,2.1365196369608216e-05,3.0011933598683175e-05,6.987419937170448e-06,1.40471133892197,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.1175,308.66,101325.0,Liquid,172620,7430.688237342989,-84.46578553618194,-47.47871762996978,-5.710377183765061 m^-2 kg^-1 s^2 mol K,-1.8675608074148913 m^-2 kg^-1 s^2 mol K,-28593.61096209644,-31146.316975621376,-16491.5359919549,-13938.829978429967,0.0001345770362124051,247.05291517986828,211.22071575906827,-0.0982347642474236,-47.466899474197454,-47.36866470995003,-28518.682323215602,-31040.333799473134,7429.519539458101,0.00013459820580442793,12.368970715168626,0.08084747090343217,-0.08071287269762774,2.1776941139250994e-08,2.15939253644053e-05,3.017860792956626e-05,7.062225031905152e-06,1.3975508121053184,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.1147,308.36,101325.0,Liquid,172620,7433.788200594543,-84.70596941060545,-47.53429050485781,-5.717061064304339 m^-2 kg^-1 s^2 mol K,-1.8697467494174769 m^-2 kg^-1 s^2 mol K,-28611.819954740826,-31162.037315834852,-16504.363495756897,-13954.146134662875,0.00013452091625640094,246.9412686285251,211.13106877619512,-0.09727809497954441,-47.52242338472409,-47.42514528974455,-28537.623493643576,-31057.250904285098,7432.615784484943,0.00013454213550059038,12.231750979953468,0.08175444395809668,-0.0816199018225961,1.294101821258664e-07,2.1573780022193102e-05,3.0163938417253927e-05,7.055636561414196e-06,1.398175859131968,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.1152,309.04,101325.0,Liquid,172620,7426.759546474547,-84.16173173766629,-47.40842541294398,-5.701922973282193 m^-2 kg^-1 s^2 mol K,-1.8647958846002777 m^-2 kg^-1 s^2 mol K,-28570.550378577915,-31126.40867456337,-16475.30888494716,-13919.450588961708,0.00013464822628796378,247.1945409901592,211.334288551006,-0.0994566377908495,-47.39667027382724,-47.29721363603639,-28494.685951652995,-31018.895712606653,7425.595669916592,0.00013466933084591617,12.544530780593506,0.0797160146911998,-0.07958134536035388,-7.444759830832481e-08,2.1619432632838114e-05,3.0197179081610085e-05,7.07056710341748e-06,1.39676094162356,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.1143,311.26,101325.0,Liquid,172620,7403.760330156692,-82.38937893595175,-46.999980393848766,-5.652798328930142 m^-2 kg^-1 s^2 mol K,-1.8487298249482256 m^-2 kg^-1 s^2 mol K,-28435.915986345884,-31010.1900076863,-16380.976110296928,-13806.702088956514,0.0001350665007248872,248.02658636252903,211.99824434152816,-0.10682367602545632,-46.98861638661064,-46.88179271058518,-28354.394664057512,-30893.42446196835,7402.627208091655,0.0001350871753891539,13.6100250874537,0.07347525030808669,-0.07334016313269753,4.9243681132793427e-08,2.176822200825437e-05,3.030544625745695e-05,7.119228198323286e-06,1.392187485315306,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.1155,312.24,101325.0,Liquid,172620,7393.581008835089,-81.60911507840413,-46.82085879080911,-5.631254951893534 m^-2 kg^-1 s^2 mol K,-1.841684131587143 m^-2 kg^-1 s^2 mol K,-28376.52752314828,-30958.930875800317,-16339.58592695808,-13757.182574306045,0.00013525245734171743,248.39643526506447,212.29159117441122,-0.11020227122747392,-46.80968045059487,-46.6994781793674,-28292.403723993513,-30837.905926470656,7392.462935097419,0.00013527291361208857,14.102573634472828,0.07090904298174092,-0.07077377006812882,-1.8910213839262724e-08,2.1833780824809154e-05,3.0353117010237127e-05,7.140669002045728e-06,1.3901906066469107,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.1148,313.84,101325.0,Liquid,172620,7376.925444007678,-80.33796771953352,-46.529941900817086,-5.596265692412487 m^-2 kg^-1 s^2 mol K,-1.8302410048751194 m^-2 kg^-1 s^2 mol K,-28279.62021394047,-30875.295764969178,-16272.338798816747,-13676.663247788041,0.0001355578292867669,249.0036656647353,212.77085933061335,-0.1158887521487233,-46.51908475822429,-46.40319600607557,-28191.105147655864,-30747.08009298407,7375.833998049849,0.000135577888583772,14.936921840374021,0.06694819794109333,-0.06681262005250956,-1.1880183592438698e-07,2.1940654224709078e-05,3.0430786320966213e-05,7.17562160965556e-06,1.3869589306364318,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.114,314.96,101325.0,Liquid,172620,7365.239002523073,-79.45017028454855,-46.3274094044916,-5.571906632106739 m^-2 kg^-1 s^2 mol K,-1.8222744512012556 m^-2 kg^-1 s^2 mol K,-28211.821412209756,-30816.787367385063,-16225.506501346392,-13620.540546171087,0.00013577291920295254,249.43125568644774,213.10659738705323,-0.1199972877925649,-46.31679099583028,-46.19679370803772,-28120.125288677955,-30683.359957716693,7364.167787941648,0.00013579266915094408,15.543805298193329,0.06433431073124873,-0.0641985180620978,-1.5792466001585126e-07,2.2015346811130675e-05,3.0485037097318995e-05,7.200049583941043e-06,1.384717549936854,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.1134,315.12,101325.0,Liquid,172620,7363.567617780807,-79.32347557523768,-46.29854987107085,-5.568435628056791 m^-2 kg^-1 s^2 mol K,-1.821139270298584 m^-2 kg^-1 s^2 mol K,-28202.138145581943,-30808.431292164936,-16218.832256793086,-13612.539110210097,0.0001358037369800611,249.49251119565443,213.15457696947948,-0.12059294410854411,-46.28796653159606,-46.16737358748752,-28109.980268321535,-30674.247175738903,7362.499404319227,0.0001358234405307181,15.632068109122025,0.06397106211534828,-0.06383523867481757,3.853929229080677e-07,2.2026009212699165e-05,3.0492779329087587e-05,7.2035366886701045e-06,1.3843987367219877,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.1127,315.44,101325.0,Liquid,172620,7360.2234111801,-79.07018572201898,-46.240885693030364,-5.561500221562259 m^-2 kg^-1 s^2 mol K,-1.8188710675274076 m^-2 kg^-1 s^2 mol K,-28182.773250594422,-30791.720773050132,-16205.495790040637,-13596.54826758493,0.0001358654410518315,249.6151511453048,213.2505489558971,-0.12179084790154916,-46.230373228033564,-46.10858238013201,-28089.686331212903,-30656.01403367445,7359.161284817842,0.00013588505011610878,15.809780112648703,0.06325198661048703,-0.06311610156037092,1.4624674804508686e-08,2.2047328047973667e-05,3.050825789827179e-05,7.210508946357668e-06,1.3837621426001212,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.1132,315.91,101325.0,Liquid,172620,7355.308108860308,-78.69840613548614,-46.156323583872876,-5.551329737546507 m^-2 kg^-1 s^2 mol K,-1.8155448428790153 m^-2 kg^-1 s^2 mol K,-28154.334921754536,-30767.181041912856,-16185.936858531577,-13573.090738373257,0.00013595623530649736,249.7955909865722,213.3915389018508,-0.12356627273289375,-46.145917013872236,-46.02235074113934,-28059.87002521771,-30629.215573076035,7354.255130489982,0.00013597570144855369,16.07368052738053,0.06221350475994351,-0.06207752905849495,4.2563624447211623e-07,2.2078625673099313e-05,3.0530977819679977e-05,7.220744735723035e-06,1.382829632230191,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.1135,316.39,101325.0,Liquid,172620,7350.283887608927,-78.31900964884977,-46.070123709188636,-5.540962275613847 m^-2 kg^-1 s^2 mol K,-1.812154197225546 m^-2 kg^-1 s^2 mol K,-28125.29609958733,-30742.123745500227,-16165.997305150036,-13549.16965923714,0.00013604916698330456,249.98025489117765,213.53556697384096,-0.12539924313549583,-46.059827526566444,-45.93442828343095,-28029.407282323773,-30601.823818610934,7349.240510820494,0.00013606848197819513,16.34676983188704,0.06117416531120031,-0.061038096829222115,-7.275957614183426e-09,2.211057152308007e-05,3.0554163706250215e-05,7.231192524978225e-06,1.3818803224673013,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.1105,319.7,101325.0,Liquid,172620,7315.514536492831,-75.71070430610335,-45.48006502955647,-5.4699945286010845 m^-2 kg^-1 s^2 mol K,-1.788944419894483 m^-2 kg^-1 s^2 mol K,-27925.15990057758,-30569.44289921711,-16029.46610926791,-13385.183110628375,0.00013669578469314547,251.2643722347498,214.52982896898874,-0.138593774781204,-45.47059461725198,-45.33200084247078,-27818.984312954573,-30412.266172186377,7314.544880860977,0.0001367139058257159,18.331052439384933,0.054552241520593965,-0.05441552761476825,2.501474227756262e-07,2.2330380338505734e-05,3.071357320965882e-05,7.303080303246245e-06,1.3754164839144007,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.1129,321.86,101325.0,Liquid,172620,7292.704093344714,-74.01593945339123,-45.099015419098556,-5.424164794563198 m^-2 kg^-1 s^2 mol K,-1.7739559502454478 m^-2 kg^-1 s^2 mol K,-27794.641357247452,-30456.840272307574,-15941.271169516516,-13279.072254456389,0.00013712334782822123,252.11258722946752,215.17967528718452,-0.1477407635008994,-45.090148738153594,-44.942407974652696,-27681.298891581886,-30287.893586099126,7291.79015359512,0.0001371405346198784,19.724880291745503,0.05069739259297211,-0.05056025205835223,-1.449516275897622e-07,2.247336713900407e-05,3.0817154127799275e-05,7.3498436843671185e-06,1.371274448425398,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.112,323.27,101325.0,Liquid,172620,7277.759817841246,-72.91268243286963,-44.851929890090645,-5.3944472360924385 m^-2 kg^-1 s^2 mol K,-1.764236916684961 m^-2 kg^-1 s^2 mol K,-27709.467360913997,-30383.361138042666,-15884.077762473069,-13210.183985344398,0.00013740491923744516,252.67072698403885,215.60432359833374,-0.15394741886480925,-44.843487045659266,-44.689539626794456,-27591.246320751106,-30206.397363596272,7276.885768206413,0.00013742142337442207,20.67876904688168,0.04835877792013921,-0.04822135649676479,-1.9128492567688227e-08,2.2566514115794608e-05,3.088458205078254e-05,7.380307108688328e-06,1.368602252536913,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.1119,323.42,101325.0,Liquid,172620,7276.167420376646,-72.79545446344929,-44.82571988202838,-5.391294896697101 m^-2 kg^-1 s^2 mol K,-1.763205954050279 m^-2 kg^-1 s^2 mol K,-27700.40722925104,-30375.54512880586,-15878.010804560241,-13202.872905005417,0.0001374349904593366,252.73031223795647,215.649519713288,-0.15461883729984321,-44.81732356420466,-44.66270472690482,-27581.65771472113,-30197.712657532833,7275.2977854043465,0.0001374514184156411,20.782341343888316,0.04811777380868016,-0.04798032239026452,9.233917808160186e-08,2.257641450154988e-05,3.089174657274683e-05,7.383544998554413e-06,1.368319427809323,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.1068,330.81,101325.0,Liquid,172620,7197.062655053685,-67.05224975155117,-43.55175346408994,-5.238071955366299 m^-2 kg^-1 s^2 mol K,-1.7130948754266484 m^-2 kg^-1 s^2 mol K,-27254.114990185062,-29990.543708634956,-15583.188145179363,-12846.759426729466,0.00013894557376095828,255.716852233471,217.88120431213827,-0.1904526938839753,-43.54602592004936,-43.35557322616538,-27106.97402033406,-29765.97817819586,7196.455868313069,0.00013895728929612839,26.41218475427884,0.037861313227335255,-0.037722355938039125,3.429886419326067e-08,2.3062087487357528e-05,3.124268438712017e-05,7.542382813347673e-06,1.3547205735060708,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.1126,310.66,500000.0,Liquid,172620,7416.699528355975,-82.9427721599849,-47.17751208706885,-5.674150483768444 m^-2 kg^-1 s^2 mol K,-1.8557129796938068 m^-2 kg^-1 s^2 mol K,-28495.565070821358,-31011.120596143322,-16354.954691174511,-13839.399165852552,0.00013483086326697468,247.6985811524774,211.8552542025528,-0.10479368541113364,-47.098528220690234,-46.9937345352791,-28392.32928876622,-30927.375096926437,7408.842566292496,0.00013497384929592535,13.315248855113866,0.07510186335090081,-0.07496688950160489,3.340392140671611e-08,2.1728046814569588e-05,3.0276223037400614e-05,7.1060890282226986e-06,1.3934166883835646,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.1127,309.21,500000.0,Liquid,172620,7431.647708459055,-84.10034116959665,-47.444144503836824,-5.706218992463862 m^-2 kg^-1 s^2 mol K,-1.8662008840939008 m^-2 kg^-1 s^2 mol K,-28583.256541661,-31086.891697072708,-16416.687775041326,-13913.05261962962,0.00013455966149495386,247.158253208788,211.4214621328366,-0.10000693287409451,-47.36528840296773,-47.26528147009363,-28483.949168798994,-31009.30141366762,7423.839540755552,0.00013470118723743675,12.623707226144795,0.07921603234974534,-0.0790813311625079,5.138572305440903e-07,2.1630840102347187e-05,3.0205483531944407e-05,7.0742978802613445e-06,1.3964082480858788,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.1181,308.86,2950000.0,Liquid,172620,7475.005946016918,-84.82780235433792,-47.91202282068087,-5.762491819504121 m^-2 kg^-1 s^2 mol K,-1.8846047342986842 m^-2 kg^-1 s^2 mol K,-28741.457523813606,-30914.813932549623,-16116.706564154134,-13943.350155418113,0.00013377915779891163,246.4619651250566,211.5360585776496,-0.0988764459902473,-47.42992268150331,-47.33104623551306,-28506.05325041373,-31029.051965298146,7427.4546190283245,0.00013463562570118027,12.46112631109211,0.08024956773850073,-0.08011493211279955,2.4643304641358554e-07,2.160735165843297e-05,3.0188383644224387e-05,7.0666160589263074e-06,1.3971348326921125,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.1154,309.03,2240000.0,Liquid,172620,7461.938406695482,-84.56407370418576,-47.76544194092679,-5.744862191891864 m^-2 kg^-1 s^2 mol K,-1.8788390203154508 m^-2 kg^-1 s^2 mol K,-28692.285343319618,-30961.513631099013,-16200.559108094407,-13931.330820315014,0.00013401343531631345,246.6807503286714,211.5241080531847,-0.09942433822556987,-47.39851696703209,-47.29909262880652,-28495.31749670253,-31019.460013902808,7425.698957848253,0.00013466745765973933,12.539885626149463,0.07974554392383745,-0.07961087646617772,5.646506906487048e-08,2.1618761534445562e-05,3.019669051340908e-05,7.070347622809542e-06,1.396781701176367,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.1152,309.04,1360000.0,Liquid,172620,7447.561020852024,-84.3954031173165,-47.61884151944307,-5.7272302139497615 m^-2 kg^-1 s^2 mol K,-1.8730725376642712 m^-2 kg^-1 s^2 mol K,-28642.4904849644,-31029.381894052814,-16313.255110884129,-13926.363701795713,0.000134272145901209,246.88753581626906,211.4483871839549,-0.0994566377908495,-47.39667027382724,-47.29721363603639,-28494.685951652995,-31018.895712606653,7425.595669916592,0.00013466933084591617,12.544530780593506,0.0797160146911998,-0.07958134536035388,-7.444759830832481e-08,2.1619432632838114e-05,3.0197179081610085e-05,7.07056710341748e-06,1.39676094162356,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.1073,329.74,740000.0,Liquid,172620,7220.970971566286,-68.01151299820783,-43.851435928064234,-5.274115471073494 m^-2 kg^-1 s^2 mol K,-1.724882793304924 m^-2 kg^-1 s^2 mol K,-27362.007065125927,-30001.138675827428,-15541.566192907523,-12902.434582206022,0.00013848553109237774,255.04967093684382,217.6199712690159,-0.18492074627474292,-43.72800894459504,-43.5430881983203,-27176.003135851573,-29828.987060050706,7207.948084201231,0.0001387357384262872,25.53051413278213,0.03916881559059411,-0.039030079852167825,3.813620423898101e-07,2.2992017605557507e-05,3.119211646589071e-05,7.51946667999628e-06,1.356649816515064,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.1095,329.74,2610000.0,Liquid,172620,7256.254171577515,-68.38751961899082,-44.18691524814287,-5.314464358967484 m^-2 kg^-1 s^2 mol K,-1.7380787695475843 m^-2 kg^-1 s^2 mol K,-27484.86866498063,-29866.789852993494,-15296.596419070867,-12914.675231058,0.00013781215160805197,254.42685270649105,217.79938146153285,-0.18492074627474292,-43.72800894459504,-43.5430881983203,-27176.003135851573,-29828.987060050706,7207.948084201231,0.0001387357384262872,25.53051413278213,0.03916881559059411,-0.039030079852167825,3.813620423898101e-07,2.2992017605557507e-05,3.119211646589071e-05,7.51946667999628e-06,1.356649816515064,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
0.1107,329.74,3880000.0,Liquid,172620,7279.4649003995655,-68.6356246119142,-44.40846704473667,-5.341110915307767 m^-2 kg^-1 s^2 mol K,-1.7467934415687543 m^-2 kg^-1 s^2 mol K,-27565.2543634185,-29773.859056769797,-15130.611133438335,-12922.006440087032,0.00013737273462849042,254.03933793081845,217.91834122259925,-0.18492074627474292,-43.72800894459504,-43.5430881983203,-27176.003135851573,-29828.987060050706,7207.948084201231,0.0001387357384262872,25.53051413278213,0.03916881559059411,-0.039030079852167825,3.813620423898101e-07,2.2992017605557507e-05,3.119211646589071e-05,7.51946667999628e-06,1.356649816515064,0.08617659999999999,3.057666,3.798293e-10,236.7691,8.31446261815324,1
