,viscosity,temperature,pressure,state,refno,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,success
0,0.000617,303.15,101320.0,L,2586,5509.387081470793,-106.99350766271924,-70.6254195580516,-8.494285536127471 m^-2 kg^-1 s^2 mol K,-2.0188904024947147 m^-2 kg^-1 s^2 mol K,-43511.943613971605,-46014.08252620465,-24603.98658718131,-22101.84767494826,0.0001815083938035878,-0.005994486236495585,-70.60666110769124,-70.60066662145475,-43501.63910053669,-46019.62873612196,5508.498483998104,0.0001815376736337401,0.31582518271295684,3.1663086249485914,-3.166127087274958,-6.82688323649927e-08,2.488869400293493e-05,3.5608605046548116e-05,5.9154528346666405e-06,1.4307140841680592,0.128257,4.207403,3.844836e-10,244.5085,8.31446261815324,1
1,0.0005462,313.15,101320.0,L,2586,5448.7881226333875,-95.45934254789172,-68.13480077039239,-8.194732949022038 m^-2 kg^-1 s^2 mol K,-1.9476938503447465 m^-2 kg^-1 s^2 mol K,-42716.43332326562,-45301.51233162433,-23965.099470375957,-21380.020462017244,0.00018352704812399682,-0.00986244265697774,-68.11582544136536,-68.10596299870838,-42702.920711903054,-45302.29476097344,5447.859980789774,0.000183558315288241,0.5460032393425022,1.8314909655191813,-1.831307407203893,8.408096618950367e-08,2.5684767982130882e-05,3.619114992264157e-05,6.104660756797217e-06,1.4090510744663947,0.128257,4.207403,3.844836e-10,244.5085,8.31446261815324,1
2,0.0004869,323.15,101320.0,L,2586,5388.193766714462,-84.1410370238805,-65.76674450595024,-7.9099212452239 m^-2 kg^-1 s^2 mol K,-1.8800008568762963 m^-2 kg^-1 s^2 mol K,-41933.75963596355,-44601.77415596483,-23349.250668867007,-20681.23614886573,0.00018559095000953652,-0.015582249247772788,-65.74756602749805,-65.73198377825028,-41915.51299535032,-44595.35058924505,5387.226234361423,0.00018562428167981615,0.9045653488052994,1.1055033241332375,-1.1053176998515577,1.1175052350154147e-07,2.647191719986089e-05,3.676446534474812e-05,6.291747474596773e-06,1.3888100762471907,0.128257,4.207403,3.844836e-10,244.5085,8.31446261815324,1
3,0.0006504999999999999,303.15,5290000.0,L,2586,5553.86235084358,-108.00402493756724,-71.56908668024275,-8.607782603289792 m^-2 kg^-1 s^2 mol K,-2.04586596608164 m^-2 kg^-1 s^2 mol K,-43814.41141225277,-45382.45045795533,-23686.281830839744,-22118.242785137183,0.00018005487655777232,-0.005994486236495585,-70.60666110769124,-70.60066662145475,-43501.63910053669,-46019.62873612196,5508.498483998104,0.0001815376736337401,0.31582518271295684,3.1663086249485914,-3.166127087274958,-6.82688323649927e-08,2.488869400293493e-05,3.5608605046548116e-05,5.9154528346666405e-06,1.4307140841680592,0.128257,4.207403,3.844836e-10,244.5085,8.31446261815324,1
4,0.0006843,303.15,10230000.0,L,2586,5593.898353822498,-108.92138590510005,-72.42672636560174,-8.710932948026018 m^-2 kg^-1 s^2 mol K,-2.0703823589102393 m^-2 kg^-1 s^2 mol K,-44082.544757785596,-44774.29578651286,-22818.133688780697,-22126.38266005343,0.0001787662085988149,-0.005994486236495585,-70.60666110769124,-70.60066662145475,-43501.63910053669,-46019.62873612196,5508.498483998104,0.0001815376736337401,0.31582518271295684,3.1663086249485914,-3.166127087274958,-6.82688323649927e-08,2.488869400293493e-05,3.5608605046548116e-05,5.9154528346666405e-06,1.4307140841680592,0.128257,4.207403,3.844836e-10,244.5085,8.31446261815324,1
5,0.0007184,303.15,14900000.0,L,2586,5629.928221062538,-109.75336560410912,-73.20532498083858,-8.80457683711356 m^-2 kg^-1 s^2 mol K,-2.0926392924836437 m^-2 kg^-1 s^2 mol K,-44320.41065683542,-44194.36984535568,-22002.175577414462,-22128.216388894198,0.0001776221579981831,-0.005994486236495585,-70.60666110769124,-70.60066662145475,-43501.63910053669,-46019.62873612196,5508.498483998104,0.0001815376736337401,0.31582518271295684,3.1663086249485914,-3.166127087274958,-6.82688323649927e-08,2.488869400293493e-05,3.5608605046548116e-05,5.9154528346666405e-06,1.4307140841680592,0.128257,4.207403,3.844836e-10,244.5085,8.31446261815324,1
6,0.0007555,303.15,19960000.0,L,2586,5667.1964772492975,-110.62050139854448,-74.0176031623391,-8.90227144695245 m^-2 kg^-1 s^2 mol K,-2.1158589863990804 m^-2 kg^-1 s^2 mol K,-44562.95295432791,-43561.45865091518,-21123.02225225208,-22124.51655566482,0.0001764540904862668,-0.005994486236495585,-70.60666110769124,-70.60066662145475,-43501.63910053669,-46019.62873612196,5508.498483998104,0.0001815376736337401,0.31582518271295684,3.1663086249485914,-3.166127087274958,-6.82688323649927e-08,2.488869400293493e-05,3.5608605046548116e-05,5.9154528346666405e-06,1.4307140841680592,0.128257,4.207403,3.844836e-10,244.5085,8.31446261815324,1
7,0.0007961,303.15,25330000.0,L,2586,5704.9508046711,-111.50592840086217,-74.8478236870215,-9.00212402466081 m^-2 kg^-1 s^2 mol K,-2.1395915781447155 m^-2 kg^-1 s^2 mol K,-44804.95779206173,-42885.48390470756,-20195.366153987,-22114.84004134117,0.0001752863493899404,-0.005994486236495585,-70.60666110769124,-70.60066662145475,-43501.63910053669,-46019.62873612196,5508.498483998104,0.0001815376736337401,0.31582518271295684,3.1663086249485914,-3.166127087274958,-6.82688323649927e-08,2.488869400293493e-05,3.5608605046548116e-05,5.9154528346666405e-06,1.4307140841680592,0.128257,4.207403,3.844836e-10,244.5085,8.31446261815324,1
8,0.0008353000000000001,303.15,30500000.0,L,2586,5739.733108336233,-112.32803954169867,-75.61939659435319,-9.094922915312754 m^-2 kg^-1 s^2 mol K,-2.161647675611952 m^-2 kg^-1 s^2 mol K,-45024.55359634643,-42231.247012469656,-19307.226934891485,-22100.53351876826,0.00017422412873999786,-0.005994486236495585,-70.60666110769124,-70.60066662145475,-43501.63910053669,-46019.62873612196,5508.498483998104,0.0001815376736337401,0.31582518271295684,3.1663086249485914,-3.166127087274958,-6.82688323649927e-08,2.488869400293493e-05,3.5608605046548116e-05,5.9154528346666405e-06,1.4307140841680592,0.128257,4.207403,3.844836e-10,244.5085,8.31446261815324,1
9,0.0008765,303.15,35770000.0,L,2586,5773.764478247708,-113.1384850812215,-76.38069054030198,-9.186485531071785 m^-2 kg^-1 s^2 mol K,-2.1834099398302906 m^-2 kg^-1 s^2 mol K,-45236.237235207394,-41561.50174942325,-18406.69541213071,-22081.430897914848,0.00017319722752243128,-0.005994486236495585,-70.60666110769124,-70.60066662145475,-43501.63910053669,-46019.62873612196,5508.498483998104,0.0001815376736337401,0.31582518271295684,3.1663086249485914,-3.166127087274958,-6.82688323649927e-08,2.488869400293493e-05,3.5608605046548116e-05,5.9154528346666405e-06,1.4307140841680592,0.128257,4.207403,3.844836e-10,244.5085,8.31446261815324,1
