speed_of_sound_m_s,temperature,pressure,state,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,c_p,c_v,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,dp_drho_npt,dp_drho_nvt,dp_drho_tot,speed_of_sound,success
1152.6,303.15,100000.0,liquid,6034.269988293095,-100.86589423811489,-63.260722850957045,-7.608516118989797 m^-2 kg^-1 s^2 mol K,-1.9930102994000936 m^-2 kg^-1 s^2 mol K,-38646.41092862963,-41150.36825843734,-21972.88012616971,-19468.922796362007,0.00016572012885404032,317.1979813039483,278.05711701655497,-0.014515833534171184,-63.24339229058101,-63.228876457046844,-38630.481101388796,-41144.747477947094,6033.256224139675,0.00016574797470044413,0.9859754869036478,1.0142239977389242,-1.0140582497642239,2.2077301764511503e-07,2.3660177399930527e-05,3.37373171525702e-05,6.19765753351072e-06,1.4259114199485783,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,96257.95585623206,93737.5354714496,96258.06481414277,980.4484705876479,1
1220.1,303.15,9910000.0,liquid,6130.245989423809,-102.65357858179893,-64.91720502698415,-7.807745131386877 m^-2 kg^-1 s^2 mol K,-2.045197278758088 m^-2 kg^-1 s^2 mol K,-39175.67850367047,-40079.63323955385,-20399.9825356236,-19496.02779974022,0.00016312559099997739,316.1149403571081,279.0111866514558,-0.014515833534171184,-63.24339229058101,-63.228876457046844,-38630.481101388796,-41144.747477947094,6033.256224139675,0.00016574797470044413,0.9859754869036478,1.0142239977389242,-1.0140582497642239,2.2077301764511503e-07,2.3660177399930527e-05,3.37373171525702e-05,6.19765753351072e-06,1.4259114199485783,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,107259.67132456753,105775.95334332828,108296.48268602142,1036.3987712459282,1
1280.5,303.15,19710000.0,liquid,6216.2352153707125,-104.28080633581904,-66.42861585256962,-7.989526070817113 m^-2 kg^-1 s^2 mol K,-2.092813828273552 m^-2 kg^-1 s^2 mol K,-39635.790014207094,-38985.589917437654,-18847.755021731176,-19497.955118500617,0.0001608690735394516,315.4726775327567,279.90006964176047,-0.014515833534171184,-63.24339229058101,-63.228876457046844,-38630.481101388796,-41144.747477947094,6033.256224139675,0.00016574797470044413,0.9859754869036478,1.0142239977389242,-1.0140582497642239,2.2077301764511503e-07,2.3660177399930527e-05,3.37373171525702e-05,6.19765753351072e-06,1.4259114199485783,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,115756.00702557576,117224.1339575732,119744.66330026634,1086.964766592518,1
1335.3,303.15,29520000.0,liquid,6294.593155617707,-105.78575544680903,-67.82941315763216,-8.158003261634487 m^-2 kg^-1 s^2 mol K,-2.136945531651951 m^-2 kg^-1 s^2 mol K,-40042.906765646905,-37873.69695122648,-17311.210352490278,-19480.42016691071,0.00015886650261225135,315.1242479359893,280.74031795205644,-0.014515833534171184,-63.24339229058101,-63.228876457046844,-38630.481101388796,-41144.747477947094,6033.256224139675,0.00016574797470044413,0.9859754869036478,1.0142239977389242,-1.0140582497642239,2.2077301764511503e-07,2.3660177399930527e-05,3.37373171525702e-05,6.19765753351072e-06,1.4259114199485783,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,122008.44975046755,128213.72771706939,130734.25705976255,1133.4209338698427,1
1385.8,303.15,39330000.0,liquid,6366.728934991033,-107.19079074050626,-69.13970688701221,-8.315595374264744 m^-2 kg^-1 s^2 mol K,-2.178225946737412 m^-2 kg^-1 s^2 mol K,-40407.027220450465,-36750.13006963527,-15790.427926837516,-19447.325077652717,0.00015706652665925197,314.9839092646128,281.54117464323815,-0.014515833534171184,-63.24339229058101,-63.228876457046844,-38630.481101388796,-41144.747477947094,6033.256224139675,0.00016574797470044413,0.9859754869036478,1.0142239977389242,-1.0140582497642239,2.2077301764511503e-07,2.3660177399930527e-05,3.37373171525702e-05,6.19765753351072e-06,1.4259114199485783,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,126190.07252056614,138809.45741585793,141329.9867585511,1176.5175097241572,1
1432.7,303.15,49130000.0,liquid,6433.659482961027,-108.51204067402024,-70.37400686360914,-8.464047539279237 m^-2 kg^-1 s^2 mol K,-2.2171122011942677 m^-2 kg^-1 s^2 mol K,-40735.41397427633,-35619.542893522106,-14285.662712819001,-19401.533793573217,0.00015543253457047437,314.9966723415952,282.30922619559533,-0.014515833534171184,-63.24339229058101,-63.228876457046844,-38630.481101388796,-41144.747477947094,6033.256224139675,0.00016574797470044413,0.9859754869036478,1.0142239977389242,-1.0140582497642239,2.2077301764511503e-07,2.3660177399930527e-05,3.37373171525702e-05,6.19765753351072e-06,1.4259114199485783,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,128442.45458822857,149057.7842254268,151578.31356811998,1216.7938141357554,1
1111.5,313.15,100000.0,liquid,5964.314845575083,-90.50276208499447,-60.99338410026559,-7.335817947764504 m^-2 kg^-1 s^2 mol K,-1.921578464942504 m^-2 kg^-1 s^2 mol K,-37918.14139496034,-40505.04897866103,-21404.970747662857,-18818.063163962168,0.00016766385174013718,321.4729214639929,282.0818931503711,-0.02252081550244716,-60.975965391231654,-60.95344457572921,-37895.87714986008,-40489.55702778595,5963.262937832571,0.00016769342731069706,1.6055322765158615,0.6228464009269767,-0.622678707499666,-1.5173100109677762e-07,2.4415239985430707e-05,3.428924838421149e-05,6.395442158798907e-06,1.4044198789228735,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,91167.12228109276,88563.55627952702,91167.23024840171,953.7004436463875,1
1182.4,313.15,9910000.0,liquid,6065.214673765433,-92.32926966102285,-62.68041032369603,-7.5387205646753195 m^-2 kg^-1 s^2 mol K,-1.9747277254493187 m^-2 kg^-1 s^2 mol K,-38476.516116941304,-39446.28254370302,-19817.912050837607,-18848.145624075896,0.00016487462584389873,320.1585267274527,283.0525942794681,-0.02252081550244716,-60.975965391231654,-60.95344457572921,-37895.87714986008,-40489.55702778595,5963.262937832571,0.00016769342731069706,1.6055322765158615,0.6228464009269767,-0.622678707499666,-1.5173100109677762e-07,2.4415239985430707e-05,3.428924838421149e-05,6.395442158798907e-06,1.4044198789228735,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,102399.60353875635,100821.27064103255,103424.94460990724,1011.974631676967,1
1245.1,313.15,19710000.0,liquid,6154.972974758002,-93.97991728567517,-64.20891490422284,-7.722557410268872 m^-2 kg^-1 s^2 mol K,-2.0228828086412594 m^-2 kg^-1 s^2 mol K,-38958.07444945097,-38359.459784267914,-18252.438082010533,-18851.05274719359,0.00016247025033271043,319.35491283477273,283.95084618153345,-0.02252081550244716,-60.975965391231654,-60.95344457572921,-37895.87714986008,-40489.55702778595,5963.262937832571,0.00016769342731069706,1.6055322765158615,0.6228464009269767,-0.622678707499666,-1.5173100109677762e-07,2.4415239985430707e-05,3.428924838421149e-05,6.395442158798907e-06,1.4044198789228735,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,111116.22463155205,112451.08237532781,115054.7563442025,1064.3280704591048,1
1301.7,313.15,29520000.0,liquid,6236.3299393754205,-95.49813801591174,-65.61795435370013,-7.892025903205613 m^-2 kg^-1 s^2 mol K,-2.0672741783334065 m^-2 kg^-1 s^2 mol K,-39381.538726878214,-37251.659422117664,-16703.39701625647,-18833.276321017016,0.00016035072065160037,318.8839526307234,284.79556698471237,-0.02252081550244716,-60.975965391231654,-60.95344457572921,-37895.87714986008,-40489.55702778595,5963.262937832571,0.00016769342731069706,1.6055322765158615,0.6228464009269767,-0.622678707499666,-1.5173100109677762e-07,2.4415239985430707e-05,3.428924838421149e-05,6.395442158798907e-06,1.4044198789228735,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,117596.11431270927,123598.17472617241,126201.84869504708,1112.2197145319733,1
