thermal_conductivity,temperature,pressure,state,refno,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,c_p,c_v,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,dp_drho_npt,dp_drho_nvt,dp_drho_tot,speed_of_sound,success
0.1256,302.53,100000.0,Liquid,190310,6038.602823703702,-101.5150226879977,-63.40506663120379,-7.625876685375843 m^-2 kg^-1 s^2 mol K,-1.9975578073595566 m^-2 kg^-1 s^2 mol K,-38691.91942136529,-41190.73367514749,-22008.798867209403,-19509.98461342721,0.00016560122087755765,316.93765370909045,277.8082270612831,-0.014107994424611282,-63.387743863760726,-63.37363586933611,-38676.310408720696,-41185.6087013537,6037.591552235156,0.00016562895839315156,0.955334881331594,1.0467533631831274,-1.0465877342247343,-1.105431692849379e-07,2.3613083191987085e-05,3.370279984682049e-05,6.185321456409023e-06,1.4272934869537608,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,96575.94524564724,94060.67989436079,96576.05427023068,982.1031576305859,1
0.1226,312.78,100000.0,Liquid,190310,5966.906838579054,-90.88272548156549,-61.07530701611952,-7.345671009786223 m^-2 kg^-1 s^2 mol K,-1.9241594220940441 m^-2 kg^-1 s^2 mol K,-37944.90371235621,-40528.742228117844,-21425.607699615994,-18841.769183854354,0.00016759101944318906,321.31217349146516,281.93260345470117,-0.02217240899461936,-61.05788997942675,-61.035717570432126,-37922.916689272024,-40513.684804413584,5965.856250693789,0.0001676205322385545,1.5779265725955278,0.6337430507650951,-0.6335754302328566,1.6910507838474587e-07,2.4387455063190257e-05,3.426898529674335e-05,6.3881640463092665e-06,1.405189069870107,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,91354.14731293298,88753.65769636339,91354.25531406936,954.6921258390765,1
0.1198,323.07,100000.0,Liquid,190310,5894.645819904622,-80.40943936697118,-58.849598054824966,-7.077979751371627 m^-2 kg^-1 s^2 mol K,-1.8540391217968428 m^-2 kg^-1 s^2 mol K,-37205.383701452134,-39874.57259183045,-20862.032948258155,-18192.844057879836,0.0001696454766838189,325.8576604782626,286.09626339492735,-0.033615503758919314,-58.83220173705152,-58.7985862332926,-37174.222295376254,-39845.05826747546,5893.562663644936,0.00016967665520358435,2.509189861115659,0.3985350074527126,-0.398365330797509,5.142737791175023e-08,2.5155815795365813e-05,3.482812330525986e-05,6.589432050336812e-06,1.3844958791467965,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,86194.09417397191,83508.0478764457,86194.20131449246,927.053739916731,1
0.1164,333.35,100000.0,Liquid,190310,5821.942404287293,-70.12949085948972,-56.72769514544282,-6.822773491288225 m^-2 kg^-1 s^2 mol K,-1.7871892003583991 m^-2 kg^-1 s^2 mol K,-36475.37941603505,-39229.829131774044,-20319.651955040677,-17565.202239301685,0.0001717639802248125,330.55653335976297,290.2820985367913,-0.04926565890283058,-56.71051644336865,-56.661250784465814,-36431.46596916078,-39180.05323424658,5820.839493410009,0.00017179652542079842,3.849167269989696,0.25979645202653845,-0.25962465550111763,-3.393633960513398e-07,2.591451562387501e-05,3.537789488760258e-05,6.788169432071199e-06,1.365176775868771,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,81129.90110542782,78358.38143771542,81130.0075514768,899.3143316281415,1
0.1144,343.46,100000.0,Liquid,190310,5749.7194848363,-60.18258981982422,-54.72971690313117,-6.582471942761276 m^-2 kg^-1 s^2 mol K,-1.7242434887786242 m^-2 kg^-1 s^2 mol K,-35764.41488136272,-38602.7080593654,-19805.239491815977,-16966.946313813296,0.00017392152828277866,335.33560459365134,294.42623728512586,-0.06969480607373188,-54.713051268794786,-54.64335646272105,-35703.56989387961,-38525.86689257796,5748.6177475539025,0.0001739548607881452,5.685188489329677,0.17589566324438732,-0.17572170838359918,-3.8253529055509716e-07,2.6652262753165805e-05,3.591036672921081e-05,6.98141836577059e-06,1.3473665280050307,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,76244.78253333071,73389.20312697851,76244.88845780941,871.8965449971943,1
0.1108,353.46,100000.0,Liquid,190310,5677.358854332452,-50.48917792519703,-52.83103766878829,-6.354113319776139 m^-2 kg^-1 s^2 mol K,-1.6644261629757278 m^-2 kg^-1 s^2 mol K,-35066.387568703336,-37987.603701653265,-19313.94512724336,-16392.72899429343,0.0001761382406251966,340.2214156225042,298.55325577325647,-0.095778592017778,-52.81530883837124,-52.71953024635346,-34983.557936714176,-37875.45719031293,5676.289339832308,0.00017617142822207556,8.140221921702908,0.1228467736652078,-0.12267060223698573,-8.875940693542361e-08,2.737413903560652e-05,3.6429389573906574e-05,7.170510015613611e-06,1.3307958115695095,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,71511.05443590927,68572.330047032,71511.16000404443,844.6267659409311,1
0.1087,363.36,100000.0,Liquid,190310,5604.596721556104,-41.02264577425276,-51.019191052969596,-6.136198260315431 m^-2 kg^-1 s^2 mol K,-1.6073444730499347 m^-2 kg^-1 s^2 mol K,-34378.84323820245,-37382.14387816863,-18843.8106171616,-15840.50997719541,0.00017842496965996728,345.21960146642016,302.6668679091555,-0.1283467013957225,-51.004984704704555,-50.876638003308834,-34268.11841618976,-37225.03315899768,5603.604051417171,0.00017845657737846352,11.344265370308895,0.08815026512137832,-0.08797180854399986,2.000888343900442e-09,2.808148039031786e-05,3.693603864747119e-05,7.355794318503212e-06,1.3153166476296694,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,66924.95983663244,63903.9220752762,66925.06521220836,817.4622274483082,1
0.1063,373.38,100000.0,Liquid,190310,5529.577850311808,-31.561371418935718,-49.246470095581806,-5.9229889359368055 m^-2 kg^-1 s^2 mol K,-1.5514954253816025 m^-2 kg^-1 s^2 mol K,-33684.84005221235,-36771.20954139706,-18383.56253710873,-15297.193047924015,0.00018084563181321533,350.44920076448017,306.8585281258073,-0.1691935336778805,-49.23463643938189,-49.065442905704,-33538.59501518696,-36556.66135672525,5528.728309602836,0.00018087342043252553,15.539374276421759,0.06435265553242529,-0.06417178211199277,5.870242603123188e-08,2.8790340495163024e-05,3.744184863278963e-05,7.541476449906491e-06,1.3005003757798597,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,62388.145075443135,59283.79637217226,62388.25042453832,789.7740360903208,1
0.1046,383.22,100000.0,Liquid,190310,5454.315282065361,-22.376883817564277,-47.558410465113425,-5.71996202872782 m^-2 kg^-1 s^2 mol K,-1.4983136076927441 m^-2 kg^-1 s^2 mol K,-33003.428165856756,-36171.36242338416,-17946.02836494339,-14778.094107415984,0.00018334107001261108,355.7616317426305,311.00203417794893,-0.2180992869022448,-47.55000912567035,-47.331909838768105,-32814.063789377615,-35886.89109969781,5453.6961713695455,0.00018336188312978162,20.775712820701955,0.048133125858552984,-0.0479497639754232,6.146728992462158e-08,2.947987056140508e-05,3.793200863867028e-05,7.722095180585991e-06,1.2867087920097826,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,58037.99610190738,54851.83323366496,58038.10159819364,762.3642969539859,1
0.1019,393.17,100000.0,Liquid,190310,5376.337758769481,-13.187136680075131,-45.898004230614305,-5.520261060576985 m^-2 kg^-1 s^2 mol K,-1.4460030020371397 m^-2 kg^-1 s^2 mol K,-32312.687944426303,-35563.0851901158,-17517.366866765176,-14266.96962107567,0.00018600021889786863,361.3242059094981,315.2184143666901,-0.2775522679991685,-45.89455916781297,-45.6170068998138,-32070.262062016114,-35192.341267931784,5376.077159626858,0.00018600923504405356,27.404137828436326,0.0364908396775882,-0.03630483044254414,1.800362952053547e-07,3.017072936799061e-05,3.842129013365759e-05,7.903061967725956e-06,1.2734624232989322,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,53747.12090346933,50478.22946675679,53747.2267343361,734.3934236742115,1
0.1267,302.58,1000000.0,Liquid,190310,6047.5207409853865,-101.63427540547401,-63.55228940274621,-7.643583514825167 m^-2 kg^-1 s^2 mol K,-2.002196017085385 m^-2 kg^-1 s^2 mol K,-38740.04067095294,-41090.47375129605,-21860.822023813096,-19510.388943469992,0.00016535701865770855,316.836520814523,277.91891725149225,-0.014140536408761959,-63.376085689370285,-63.361945152961525,-38672.61316435033,-41182.312281697115,6037.241936984323,0.00016563854992690793,0.9577759810800164,1.0440854852847432,-1.0439198467348163,-8.367032933165319e-08,2.3616882315918646e-05,3.370558481090854e-05,6.186316616701238e-06,1.4271818083367311,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,97670.59162793623,95165.6700603086,97681.46015930941,987.353443946289,1
0.1228,312.81,1000000.0,Liquid,190310,5976.4883118516855,-91.02802055700259,-61.23113851783593,-7.364413231487501 m^-2 kg^-1 s^2 mol K,-1.9290688473091735 m^-2 kg^-1 s^2 mol K,-37997.672373545705,-40431.197086689936,-21277.48464692568,-18843.959933781443,0.00016732233844027575,321.1771204319335,282.037294267609,-0.022200496562097525,-61.05124199084511,-61.02904149428301,-37920.72392622744,-40511.72821320703,5965.645995655836,0.00016762643990746298,1.5801501155073998,0.6328512653235426,-0.6326836388836352,-3.545983418007381e-08,2.438970833170986e-05,3.4270628696111124e-05,6.388754278004468e-06,1.4051266308730208,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,92482.11136223785,89892.02879021935,92492.87584180388,960.2430717235779,1
0.1202999999999999,323.09,1000000.0,Liquid,190310,5904.876982069056,-80.57063042868494,-59.012120709243796,-7.097526733766376 m^-2 kg^-1 s^2 mol K,-1.8591593497921144 m^-2 kg^-1 s^2 mol K,-37262.38860498309,-39779.35679404758,-20713.130714097995,-18196.162525033513,0.00016935153823468855,325.68920527553286,286.19896775693365,-0.03364156141783528,-58.827978669716074,-58.79433710829824,-37172.77300172707,-39843.76259373459,5893.421735456173,0.00016968071264674157,2.511362719361979,0.39819019064440586,-0.39802050993175914,7.893595466157421e-08,2.51573004419203e-05,3.48292013250173e-05,6.589820945599408e-06,1.3844570249270642,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,87350.06774679772,84674.42431510518,87360.7440424043,932.8972727497935,1
