viscosity,temperature,pressure,state,refno,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,success
0.00051,298.15,100000,Liquid,109702,6069.209216643079,-106.1237933859752,-64.43797970126734,-7.750107572866798 m^-2 kg^-1 s^2 mol K,-2.0300994270920993 m^-2 kg^-1 s^2 mol K,-39014.67738878629,-41477.15780728006,-22264.974159347203,-19802.493740853435,0.00016476611108705638,-0.011483839044958203,-64.42071710553874,-64.40923326649379,-39001.12877829249,-41475.20307862141,6068.215806475229,0.00016479308447351642,0.7607592282223403,1.3144763321986794,-1.314311539114206,-1.7214688341482542e-08,2.327946520604615e-05,3.345793740807383e-05,6.0979320007455335e-06,1.437229640455148,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,1
0.000631,298.15,20900000,Liquid,109702,6256.772970897567,-109.69930608760296,-67.7604314807214,-8.149706672897635 m^-2 kg^-1 s^2 mol K,-2.1347722843927164 m^-2 kg^-1 s^2 mol K,-40031.27558610954,-39169.852503278045,-18967.079857300963,-19828.502940132465,0.00015982679963798412,-0.011483839044958203,-64.42071710553874,-64.40923326649379,-39001.12877829249,-41475.20307862141,6068.215806475229,0.00016479308447351642,0.7607592282223403,1.3144763321986794,-1.314311539114206,-1.7214688341482542e-08,2.327946520604615e-05,3.345793740807383e-05,6.0979320007455335e-06,1.437229640455148,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,1
0.000753,298.15,40600000,Liquid,109702,6403.778211581153,-112.58981890795272,-70.45785246885514,-8.474131847682155 m^-2 kg^-1 s^2 mol K,-2.219753732104504 m^-2 kg^-1 s^2 mol K,-40781.50299072686,-36920.4528154302,-15913.444101841047,-19774.494277137706,0.00015615781292854778,-0.011483839044958203,-64.42071710553874,-64.40923326649379,-39001.12877829249,-41475.20307862141,6068.215806475229,0.00016479308447351642,0.7607592282223403,1.3144763321986794,-1.314311539114206,-1.7214688341482542e-08,2.327946520604615e-05,3.345793740807383e-05,6.0979320007455335e-06,1.437229640455148,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,1
0.000889,298.15,60900000,Liquid,109702,6534.667084921112,-115.23550588685998,-72.93531092477649,-8.772101610696332 m^-2 kg^-1 s^2 mol K,-2.2978053255176896 m^-2 kg^-1 s^2 mol K,-41412.49717194383,-34571.92817082798,-12826.265218605877,-19666.83421972172,0.0001530299840840434,-0.011483839044958203,-64.42071710553874,-64.40923326649379,-39001.12877829249,-41475.20307862141,6068.215806475229,0.00016479308447351642,0.7607592282223403,1.3144763321986794,-1.314311539114206,-1.7214688341482542e-08,2.327946520604615e-05,3.345793740807383e-05,6.0979320007455335e-06,1.437229640455148,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,1
0.00104,298.15,80000000,Liquid,109702,6643.988034375211,-117.50211209680657,-75.06397198189173,-9.02812068912332 m^-2 kg^-1 s^2 mol K,-2.3648681603948343 m^-2 kg^-1 s^2 mol K,-41911.451429444394,-32349.447580416436,-9969.12433401542,-19531.12818304338,0.00015051201098287924,-0.011483839044958203,-64.42071710553874,-64.40923326649379,-39001.12877829249,-41475.20307862141,6068.215806475229,0.00016479308447351642,0.7607592282223403,1.3144763321986794,-1.314311539114206,-1.7214688341482542e-08,2.327946520604615e-05,3.345793740807383e-05,6.0979320007455335e-06,1.437229640455148,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,1
0.00103,298.15,80100000,Liquid,109702,6644.531238084684,-117.51351146510937,-75.07469159847108,-9.029409962654475 m^-2 kg^-1 s^2 mol K,-2.365205878733884 m^-2 kg^-1 s^2 mol K,-41913.86516332177,-32337.795716280027,-9954.276416195877,-19530.345863237617,0.00015049970632514544,-0.011483839044958203,-64.42071710553874,-64.40923326649379,-39001.12877829249,-41475.20307862141,6068.215806475229,0.00016479308447351642,0.7607592282223403,1.3144763321986794,-1.314311539114206,-1.7214688341482542e-08,2.327946520604615e-05,3.345793740807383e-05,6.0979320007455335e-06,1.437229640455148,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,1
0.0011899999999999,298.15,100300000,Liquid,109702,6748.9763179307065,-119.73183971712821,-77.16334174905117,-9.280616835125086 m^-2 kg^-1 s^2 mol K,-2.4310081818747604 m^-2 kg^-1 s^2 mol K,-42365.67734057397,-29983.1212643262,-6976.870921846596,-19359.42699809437,0.00014817061920089958,-0.011483839044958203,-64.42071710553874,-64.40923326649379,-39001.12877829249,-41475.20307862141,6068.215806475229,0.00016479308447351642,0.7607592282223403,1.3144763321986794,-1.314311539114206,-1.7214688341482542e-08,2.327946520604615e-05,3.345793740807383e-05,6.0979320007455335e-06,1.437229640455148,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,1
0.00136,298.15,120100000,Liquid,109702,6842.55850730607,-121.76653114891124,-79.08353574968967,-9.511563089720793 m^-2 kg^-1 s^2 mol K,-2.491503324004818 m^-2 kg^-1 s^2 mol K,-42749.375935959404,-27676.41874052965,-4097.662556759677,-19170.61975218943,0.00014614416507104184,-0.011483839044958203,-64.42071710553874,-64.40923326649379,-39001.12877829249,-41475.20307862141,6068.215806475229,0.00016479308447351642,0.7607592282223403,1.3144763321986794,-1.314311539114206,-1.7214688341482542e-08,2.327946520604615e-05,3.345793740807383e-05,6.0979320007455335e-06,1.437229640455148,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,1
0.001555,298.15,139700000,Liquid,109702,6928.21086673998,-123.67071853124648,-80.88429208831603,-9.728144295425503 m^-2 kg^-1 s^2 mol K,-2.548235618038952 m^-2 kg^-1 s^2 mol K,-43082.702546405235,-25397.72364982891,-1282.0719636974861,-18967.050860273812,0.000144337408204572,-0.011483839044958203,-64.42071710553874,-64.40923326649379,-39001.12877829249,-41475.20307862141,6068.215806475229,0.00016479308447351642,0.7607592282223403,1.3144763321986794,-1.314311539114206,-1.7214688341482542e-08,2.327946520604615e-05,3.345793740807383e-05,6.0979320007455335e-06,1.437229640455148,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,1
0.00155,298.15,139900000,Liquid,109702,6929.053305739297,-123.68965555134764,-80.90221816895766,-9.730300307360958 m^-2 kg^-1 s^2 mol K,-2.5488003738896055 m^-2 kg^-1 s^2 mol K,-43085.895319361625,-25374.503995874893,-1253.5076488001694,-18964.8989722869,0.00014431985956461115,-0.011483839044958203,-64.42071710553874,-64.40923326649379,-39001.12877829249,-41475.20307862141,6068.215806475229,0.00016479308447351642,0.7607592282223403,1.3144763321986794,-1.314311539114206,-1.7214688341482542e-08,2.327946520604615e-05,3.345793740807383e-05,6.0979320007455335e-06,1.437229640455148,0.114231,3.8176,3.8373000000000003e-10,242.78,8.31446261815324,1
