,A_res,E_res,G_res,H_res,M,R,V,V_vap_gas,V_vap_liq,dE_vap,dH_vap,dV_vap,dpressure,epsilon,eta_CE,eta_CE_ig,eta_CE_m,m,omega22,pressure,rho,rho_vap_gas,rho_vap_liq,s_res,s_res*,s_res**,s_res_vle_gas,s_res_vle_liq,s_total,s_vap,sigma,state,success,temperature,viscosity
0,-7224.636745223123,-15459.373066410557,-8933.82312341522,-17168.559444602655,0.0440962,8.31446261815324,8.149836769431895e-05,0.004306211031516569,8.345446385444691e-05,-14726.141209594596,-16732.408684863876,-0.0042227565676621216,-8.544884622097015e-08,208.1101,1.6062295995744696e-05,2.2377976774219477e-05,8.023810223423026e-06,2.0018290000000003,1.3931991279545566,6894757.000000002,12270.184401125221,232.22271102859034,11982.582522417279,-30.14727359155603,-3.625883592973825 m^-2 kg^-1 s^2 mol K,-1.8112853760105507 m^-2 kg^-1 s^2 mol K,-0.621888929508505,-29.0908542534264,-85.58827212658537,-28.468965323917896,3.618353e-10,L,1,273.1502832645506,0.00013800000000000002
1,-7254.7661465397205,-15754.274189845359,-8425.207723108153,-16924.715766413796,0.0440962,8.31446261815324,7.981834912910228e-05,0.004306211031516569,8.345446385444691e-05,-14726.141209594596,-16732.408684863876,-0.0042227565676621216,-8.544884622097015e-08,208.1101,1.6062295995744696e-05,2.2377976774219477e-05,8.023810223423026e-06,2.0018290000000003,1.3931991279545566,13789514.0,12528.447542588845,232.22271102859034,11982.582522417279,-31.116599776957678,-3.7424667360966635 m^-2 kg^-1 s^2 mol K,-1.8695236886350748 m^-2 kg^-1 s^2 mol K,-0.621888929508505,-29.0908542534264,-86.7307850327696,-28.468965323917896,3.618353e-10,L,1,273.1502832645506,0.000149
2,-7270.886291807798,-16003.015034445367,-7919.831243530764,-16651.95998616833,0.0440962,8.31446261815324,7.842446405861392e-05,0.004306211031516569,8.345446385444691e-05,-14726.141209594596,-16732.408684863876,-0.0042227565676621216,-8.544884622097015e-08,208.1101,1.6062295995744696e-05,2.2377976774219477e-05,8.023810223423026e-06,2.0018290000000003,1.3931991279545566,20684271.0,12751.123160403196,232.22271102859034,11982.582522417279,-31.968221443066763,-3.8448932794850137 m^-2 kg^-1 s^2 mol K,-1.920690168583337 m^-2 kg^-1 s^2 mol K,-0.621888929508505,-29.0908542534264,-87.72888671694521,-28.468965323917896,3.618353e-10,L,1,273.1502832645506,0.00016
3,-7277.006509683296,-16218.18819764875,-7418.12075270593,-16359.302440671385,0.0440962,8.31446261815324,7.723200311187313e-05,0.004306211031516569,8.345446385444691e-05,-14726.141209594596,-16732.408684863876,-0.0042227565676621216,-8.544884622097015e-08,208.1101,1.6062295995744696e-05,2.2377976774219477e-05,8.023810223423026e-06,2.0018290000000003,1.3931991279545566,27579028.0,12948.000306964286,232.22271102859034,11982.582522417279,-32.73356183674821,-3.936942571042408 m^-2 kg^-1 s^2 mol K,-1.966672763279185 m^-2 kg^-1 s^2 mol K,-0.621888929508505,-29.0908542534264,-88.6216213154658,-28.468965323917896,3.618353e-10,L,1,273.1502832645506,0.000171
4,-7275.601167270993,-16407.669323026483,-6920.160583869496,-16052.228739624985,0.0440962,8.31446261815324,7.618944083867118e-05,0.004306211031516569,8.345446385444691e-05,-14726.141209594596,-16732.408684863876,-0.0042227565676621216,-8.544884622097015e-08,208.1101,1.6062295995744696e-05,2.2377976774219477e-05,8.023810223423026e-06,2.0018290000000003,1.3931991279545566,34473785.0,13125.17835794949,232.22271102859034,11982.582522417279,-33.43239496812429,-4.020992877534892 m^-2 kg^-1 s^2 mol K,-2.0086595196367383 m^-2 kg^-1 s^2 mol K,-0.621888929508505,-29.0908542534264,-89.43345662249703,-28.468965323917896,3.618353e-10,L,1,273.1502832645506,0.000181
5,-7926.165826740291,-16361.970237196969,-9491.92986942599,-17927.73427988267,0.0440962,8.31446261815324,7.820079524387839e-05,0.008066115766772335,7.965959264559376e-05,-15869.9198746742,-17826.842229731432,-0.007986456174126742,-2.906599547713995e-07,208.1101,1.4921998918504027e-05,2.15438199052265e-05,7.454182609255848e-06,2.0018290000000003,1.4437623285517789,6894757.000000002,12787.593743533966,123.97540884788852,12553.41593885634,-33.32123305924354,-4.007623172962759 m^-2 kg^-1 s^2 mol K,-2.001980775062585 m^-2 kg^-1 s^2 mol K,-0.3669771135606828,-32.38919129584728,-95.60192211214493,-32.0222141822866,3.618353e-10,L,1,253.1660336656277,0.00016700000000000002
6,-7947.627066387953,-16600.16878507819,-8991.738471335831,-17644.280190026067,0.0440962,8.31446261815324,7.693005845971794e-05,0.008066115766772335,7.965959264559376e-05,-15869.9198746742,-17826.842229731432,-0.007986456174126742,-2.906599547713995e-07,208.1101,1.4921998918504027e-05,2.15438199052265e-05,7.454182609255848e-06,2.0018290000000003,1.4437623285517789,13789514.0,12998.820227383803,123.97540884788852,12553.41593885634,-34.17734043310957,-4.110589222987071 m^-2 kg^-1 s^2 mol K,-2.05341676186481 m^-2 kg^-1 s^2 mol K,-0.3669771135606828,-32.38919129584728,-96.5942464867864,-32.0222141822866,3.618353e-10,L,1,253.1660336656277,0.00017999999999999998
7,-7959.010209336254,-16807.209940025703,-8495.346062453862,-17343.54579314331,0.0440962,8.31446261815324,7.583557912103275e-05,0.008066115766772335,7.965959264559376e-05,-15869.9198746742,-17826.842229731432,-0.007986456174126742,-2.906599547713995e-07,208.1101,1.4921998918504027e-05,2.15438199052265e-05,7.454182609255848e-06,2.0018290000000003,1.4437623285517789,20684271.0,13186.42267376914,123.97540884788852,12553.41593885634,-34.95018507251973,-4.203541067851077 m^-2 kg^-1 s^2 mol K,-2.0998502208985266 m^-2 kg^-1 s^2 mol K,-0.3669771135606828,-32.38919129584728,-97.48623000317434,-32.0222141822866,3.618353e-10,L,1,253.1660336656277,0.000191
8,-7962.735231168325,-16990.260542728596,-8002.737352230123,-17030.262663790392,0.0440962,8.31446261815324,7.487346552014785e-05,0.008066115766772335,7.965959264559376e-05,-15869.9198746742,-17826.842229731432,-0.007986456174126742,-2.906599547713995e-07,208.1101,1.4921998918504027e-05,2.15438199052265e-05,7.454182609255848e-06,2.0018290000000003,1.4437623285517789,27579028.0,13355.866368051416,123.97540884788852,12553.41593885634,-35.65851698527414,-4.288733815149968 m^-2 kg^-1 s^2 mol K,-2.1424076757555053 m^-2 kg^-1 s^2 mol K,-0.3669771135606828,-32.38919129584728,-98.30072098901688,-32.0222141822866,3.618353e-10,L,1,253.1660336656277,0.00020300000000000003
9,-7960.425655609988,-17154.175435531695,-7513.800934704251,-16707.550714625955,0.0440962,8.31446261815324,7.401462427188467e-05,0.008066115766772335,7.965959264559376e-05,-15869.9198746742,-17826.842229731432,-0.007986456174126742,-2.906599547713995e-07,208.1101,1.4921998918504027e-05,2.15438199052265e-05,7.454182609255848e-06,2.0018290000000003,1.4437623285517789,34473785.0,13510.843429085158,123.97540884788852,12553.41593885634,-36.31509980546787,-4.367702577215262 m^-2 kg^-1 s^2 mol K,-2.18185598131272 m^-2 kg^-1 s^2 mol K,-0.3669771135606828,-32.38919129584728,-99.05322662837442,-32.0222141822866,3.618353e-10,L,1,253.1660336656277,0.000215
