year,author,doi,phases,note,secondary,reject,rho_predicted,rho_predicted_units,std. uncert. %,T [K],P [kPa],NVC [PaÂ·s],VDN [kg/m^3]
1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.54,g/cm3,2.5,273.1502832645506,6894.7570000000005,0.000138,
1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.551,g/cm3,2.5,273.1502832645506,13789.514000000001,0.000149,
1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.561,g/cm3,2.5,273.1502832645506,20684.271,0.00016,
1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.569,g/cm3,2.5,273.1502832645506,27579.028000000002,0.000171,
1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.576,g/cm3,2.5,273.1502832645506,34473.785,0.000181,
1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.564,g/cm3,2.5,253.16603366562768,6894.7570000000005,0.000167,
1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.573,g/cm3,2.5,253.16603366562768,13789.514000000001,0.00018,
1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.582,g/cm3,2.5,253.16603366562768,20684.271,0.000191,
1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.589,g/cm3,2.5,253.16603366562768,27579.028000000002,0.000203,
1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.595,g/cm3,2.5,253.16603366562768,34473.785,0.000215,
1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.587,g/cm3,2.5,233.18263353527712,6894.7570000000005,0.000207,
1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.594,g/cm3,2.5,233.18263353527712,13789.514000000001,0.000221,
1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.602,g/cm3,2.5,233.18263353527712,20684.271,0.000234,
1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.608,g/cm3,2.5,233.18263353527712,27579.028000000002,0.000247,
1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.613,g/cm3,2.5,233.18263353527712,34473.785,0.00026,
1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.608,g/cm3,2.5,213.19263622954256,6894.7570000000005,0.00026,
1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.616,g/cm3,2.5,213.19263622954256,13789.514000000001,0.000275,
1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.622,g/cm3,2.5,213.19263622954256,20684.271,0.000291,
1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.627,g/cm3,2.5,213.19263622954256,27579.028000000002,0.000306,
1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.632,g/cm3,2.5,213.19263622954256,34473.785,0.000322,
1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.63,g/cm3,2.5,193.1948476562595,6894.7570000000005,0.000332,
1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.636,g/cm3,2.5,193.1948476562595,13789.514000000001,0.00035,
1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.641,g/cm3,2.5,193.1948476562595,20684.271,0.000368,
1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.645,g/cm3,2.5,193.1948476562595,27579.028000000002,0.000388,
1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.651,g/cm3,2.5,193.1948476562595,34473.785,0.000406,
1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.651,g/cm3,2.5,173.18606012153276,6894.7570000000005,0.000452,
1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.655,g/cm3,2.5,173.18606012153276,13789.514000000001,0.000476,
1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.66,g/cm3,2.5,173.18606012153276,20684.271,0.000502,
1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.663,g/cm3,2.5,173.18606012153276,27579.028000000002,0.000527,
1966,Huang,10.1002/aic.690120518,L,smoothed,,,0.669,g/cm3,2.5,173.18606012153276,34473.785,0.000554,
1974,Strumpf,10.1063/1.1681497,L,,,,,,2.5,310.9181447252921,3171.58822,8.806000000000001e-05,
1974,Strumpf,10.1063/1.1681497,L,,,,,,2.5,310.9181447252921,4067.90663,9.120000000000001e-05,
1974,Strumpf,10.1063/1.1681497,L,,,,,,2.5,310.9181447252921,4357.486424,9.16e-05,
1974,Strumpf,10.1063/1.1681497,L,,,,,,2.5,310.9181447252921,5646.805983,9.491000000000001e-05,
1974,Strumpf,10.1063/1.1681497,L,,,,,,2.5,310.9181447252921,7205.021065,9.718e-05,
1964,Carmichael,10.1021/je60022a038,G,,,,,,2.5,277.59162805283546,111.6950634,7.646e-06,
1964,Carmichael,10.1021/je60022a038,G,,,,,,2.5,277.59162805283546,111.6950634,7.651e-06,
1964,Carmichael,10.1021/je60022a038,G,,,,,,2.5,277.59162805283546,457.1223891,7.641e-06,
1964,Carmichael,10.1021/je60022a038,G,,,,,,2.5,277.59162805283546,457.1223891,7.641e-06,
1964,Carmichael,10.1021/je60022a038,L,,,,,,2.5,277.59162805283546,1539.5992381,0.000122982,
1964,Carmichael,10.1021/je60022a038,L,,,,,,2.5,277.59162805283546,1563.7308876000002,0.000123384,
1964,Carmichael,10.1021/je60022a038,L,,,,,,2.5,277.59162805283546,7675.9329681,0.000133745,
1964,Carmichael,10.1021/je60022a038,L,,,,,,2.5,277.59162805283546,7705.5804232,0.00013357200000000001,
1964,Carmichael,10.1021/je60022a038,L,,,,,,2.5,277.59162805283546,21053.8299752,0.00015477800000000003,
1964,Carmichael,10.1021/je60022a038,L,,,,,,2.5,277.59162805283546,21136.5670592,0.00015469600000000004,
1964,Carmichael,10.1021/je60022a038,L,,,,,,2.5,277.59162805283546,31114.6593896,0.000169707,
1964,Carmichael,10.1021/je60022a038,L,,,,,,2.5,277.59162805283546,31209.807036200003,0.000169606,
1964,Carmichael,10.1021/je60022a038,G,,,,,,2.5,377.56944979504897,204.7742829,1.0251e-05,
1964,Carmichael,10.1021/je60022a038,G,,,,,,2.5,377.56944979504897,204.7742829,1.0265e-05,
1964,Carmichael,10.1021/je60022a038,G,,,,,,2.5,377.56944979504897,3441.1732187000002,1.2324e-05,
1964,Carmichael,10.1021/je60022a038,G,,,,,,2.5,377.56944979504897,3441.1732187000002,1.2477000000000001e-05,
1964,Carmichael,10.1021/je60022a038,L,,,,,,2.5,377.56944979504897,7005.073112,4.3986e-05,
1964,Carmichael,10.1021/je60022a038,L,,,,,,2.5,377.56944979504897,7010.5889176,4.3809e-05,
1964,Carmichael,10.1021/je60022a038,L,,,,,,2.5,377.56944979504897,13861.219472800001,6.1134e-05,
1964,Carmichael,10.1021/je60022a038,L,,,,,,2.5,377.56944979504897,13871.5616083,6.1108e-05,
1964,Carmichael,10.1021/je60022a038,L,,,,,,2.5,377.56944979504897,27592.1280383,8.109700000000001e-05,
1964,Carmichael,10.1021/je60022a038,L,,,,,,2.5,377.56944979504897,27651.4229485,8.116900000000001e-05,
1964,Carmichael,10.1021/je60022a038,G,,,,,,2.5,310.908184095576,110.316112,8.522e-06,
1964,Carmichael,10.1021/je60022a038,G,,,,,,2.5,310.908184095576,110.316112,8.557e-06,
1964,Carmichael,10.1021/je60022a038,G,,,,,,2.5,310.908184095576,110.316112,8.532e-06,
1964,Carmichael,10.1021/je60022a038,G,,,,,,2.5,310.908184095576,337.1536173,8.594e-06,
1964,Carmichael,10.1021/je60022a038,G,,,,,,2.5,310.908184095576,337.1536173,8.608000000000001e-06,
1964,Carmichael,10.1021/je60022a038,G,,,,,,2.5,310.908184095576,337.1536173,8.699e-06,
1964,Carmichael,10.1021/je60022a038,L,,,,,,2.5,410.9096703331914,137.2056643,1.1094e-05,
1964,Carmichael,10.1021/je60022a038,L,,,,,,2.5,410.9096703331914,137.2056643,1.1113e-05,
1964,Carmichael,10.1021/je60022a038,L,,,,,,2.5,410.9096703331914,137.2056643,1.1127e-05,
1964,Carmichael,10.1021/je60022a038,G,,,,,,2.5,477.5988534952273,165.47416800000002,1.2908e-05,
1964,Carmichael,10.1021/je60022a038,G,,,,,,2.5,477.5988534952273,165.47416800000002,1.2918e-05,
1964,Carmichael,10.1021/je60022a038,G,,,,,,2.5,477.5988534952273,633.6281683000001,1.297e-05,
1964,Carmichael,10.1021/je60022a038,G,,,,,,2.5,477.5988534952273,633.6281683000001,1.3023e-05,
1964,Carmichael,10.1021/je60022a038,G,,,,,,2.5,477.5988534952273,3592.168397,1.3962000000000001e-05,
1964,Carmichael,10.1021/je60022a038,G,,,,,,2.5,477.5988534952273,3594.9262998,1.3966000000000001e-05,
1964,Carmichael,10.1021/je60022a038,L,,,,,,2.5,477.5988534952273,7027.1363344,1.6662000000000004e-05,
1964,Carmichael,10.1021/je60022a038,L,,,,,,2.5,477.5988534952273,7031.2731886,1.6648e-05,
1964,Carmichael,10.1021/je60022a038,L,,,,,,2.5,477.5988534952273,13994.288282900001,2.7789e-05,
1964,Carmichael,10.1021/je60022a038,L,,,,,,2.5,477.5988534952273,13996.35671,2.7755e-05,
1964,Carmichael,10.1021/je60022a038,L,,,,,,2.5,477.5988534952273,21326.8623524,3.9261e-05,
1964,Carmichael,10.1021/je60022a038,L,,,,,,2.5,477.5988534952273,21382.7098841,3.939e-05,
1964,Carmichael,10.1021/je60022a038,L,,,,,,2.5,477.5988534952273,21424.0784261,3.942400000000001e-05,
1964,Carmichael,10.1021/je60022a038,L,,,,,,2.5,477.5988534952273,27627.9807747,4.6342000000000005e-05,
1964,Carmichael,10.1021/je60022a038,L,,,,,,2.5,477.5988534952273,27405.969599300002,4.712200000000001e-05,
1964,Carmichael,10.1021/je60022a038,L,,,,,,2.5,477.5988534952273,27475.606645,4.7185e-05,
1964,Carmichael,10.1021/je60022a038,L,,,,,,2.5,477.5988534952273,34265.563338600004,5.485e-05,
1964,Carmichael,10.1021/je60022a038,L,,,,,,2.5,477.5988534952273,34343.4740927,5.5276000000000004e-05,
1964,Carmichael,10.1021/je60022a038,L,,,,,,2.5,477.5988534952273,34671.6645259,5.4869000000000006e-05,
2011,Wilhelm,10.1021/je200046m,G,SLIP,Y,,,,0.7,298.21,39.382,8.116e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.21,66.94200000000001,8.119e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.21,93.54700000000001,8.119999999999998e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.19,110.53,8.118000000000001e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.21,121.84,8.118000000000001e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.2,135.85,8.117e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.21,154.73000000000002,8.118000000000001e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.2,167.19,8.117e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.18,177.77,8.118000000000001e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.21,189.44,8.115e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.21,200.13,8.117e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.18,209.10999999999999,8.116e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.21,224.44,8.115e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.18,238.95,8.116e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.21,252.29000000000002,8.116e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.18,264.13,8.114e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.21,281.28999999999996,8.116e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.18,298.71999999999997,8.115e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.18,339.08,8.116e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.21,351.54,8.116e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.18,360.20000000000005,8.112e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.19,392.56,8.117e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.19,428.70000000000005,8.117e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.19,462.02,8.118000000000001e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.19,498.82,8.121e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.19,530.0899999999999,8.123e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.19,566.44,8.126e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.2,605.1600000000001,8.129e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.19,639.5999999999999,8.132e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.19,677.31,8.135e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.18,715.6700000000001,8.141e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.19,752.29,8.146000000000001e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.19,788.26,8.151e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.2,824.9,8.157999999999999e-06,
2011,Wilhelm,10.1021/je200046m,G,,,,,,0.7,298.2,859.1,8.164999999999999e-06,
