,A_res,E_res,G_res,H_res,M,R,V,V_vap_gas,V_vap_liq,dE_vap,dH_vap,dV_vap,dpressure,epsilon,eta_CE,eta_CE_ig,eta_CE_m,m,omega22,pressure,rho,rho_vap_gas,rho_vap_liq,s_res,s_res*,s_res**,s_res_vle_gas,s_res_vle_liq,s_total,s_vap,sigma,state,success,temperature,viscosity,refno
0,-7224.63674522312,-15459.3730664106,-8933.82312341522,-17168.5594446027,0.0440962,8.31446261815324,8.1498367694319E-05,0.00430621103151657,8.34544638544469E-05,-14726.1412095946,-16732.4086848639,-0.00422275656766212,-8.54488462209702E-08,208.1101,1.60622959957447E-05,2.23779767742195E-05,8.02381022342303E-06,2.001829,1.39319912795456,6894757,12270.1844011252,232.22271102859,11982.5825224173,-30.147273591556,-3.625883592973825 m^-2 kg^-1 s^2 mol K,-1.8112853760105507 m^-2 kg^-1 s^2 mol K,-0.621888929508505,-29.0908542534264,-85.5882721265854,-28.4689653239179,3.618353E-10,L,1,273.150283264551,0.000138,Bell
1,-7254.76614653972,-15754.2741898454,-8425.20772310815,-16924.7157664138,0.0440962,8.31446261815324,7.98183491291023E-05,0.00430621103151657,8.34544638544469E-05,-14726.1412095946,-16732.4086848639,-0.00422275656766212,-8.54488462209702E-08,208.1101,1.60622959957447E-05,2.23779767742195E-05,8.02381022342303E-06,2.001829,1.39319912795456,13789514,12528.4475425888,232.22271102859,11982.5825224173,-31.1165997769577,-3.7424667360966635 m^-2 kg^-1 s^2 mol K,-1.8695236886350748 m^-2 kg^-1 s^2 mol K,-0.621888929508505,-29.0908542534264,-86.7307850327696,-28.4689653239179,3.618353E-10,L,1,273.150283264551,0.000149,Bell
2,-7270.8862918078,-16003.0150344454,-7919.83124353076,-16651.9599861683,0.0440962,8.31446261815324,7.84244640586139E-05,0.00430621103151657,8.34544638544469E-05,-14726.1412095946,-16732.4086848639,-0.00422275656766212,-8.54488462209702E-08,208.1101,1.60622959957447E-05,2.23779767742195E-05,8.02381022342303E-06,2.001829,1.39319912795456,20684271,12751.1231604032,232.22271102859,11982.5825224173,-31.9682214430668,-3.8448932794850137 m^-2 kg^-1 s^2 mol K,-1.920690168583337 m^-2 kg^-1 s^2 mol K,-0.621888929508505,-29.0908542534264,-87.7288867169452,-28.4689653239179,3.618353E-10,L,1,273.150283264551,0.00016,Bell
3,-7277.0065096833,-16218.1881976488,-7418.12075270593,-16359.3024406714,0.0440962,8.31446261815324,7.72320031118731E-05,0.00430621103151657,8.34544638544469E-05,-14726.1412095946,-16732.4086848639,-0.00422275656766212,-8.54488462209702E-08,208.1101,1.60622959957447E-05,2.23779767742195E-05,8.02381022342303E-06,2.001829,1.39319912795456,27579028,12948.0003069643,232.22271102859,11982.5825224173,-32.7335618367482,-3.936942571042408 m^-2 kg^-1 s^2 mol K,-1.966672763279185 m^-2 kg^-1 s^2 mol K,-0.621888929508505,-29.0908542534264,-88.6216213154658,-28.4689653239179,3.618353E-10,L,1,273.150283264551,0.000171,Bell
4,-7275.60116727099,-16407.6693230265,-6920.1605838695,-16052.228739625,0.0440962,8.31446261815324,7.61894408386712E-05,0.00430621103151657,8.34544638544469E-05,-14726.1412095946,-16732.4086848639,-0.00422275656766212,-8.54488462209702E-08,208.1101,1.60622959957447E-05,2.23779767742195E-05,8.02381022342303E-06,2.001829,1.39319912795456,34473785,13125.1783579495,232.22271102859,11982.5825224173,-33.4323949681243,-4.020992877534892 m^-2 kg^-1 s^2 mol K,-2.0086595196367383 m^-2 kg^-1 s^2 mol K,-0.621888929508505,-29.0908542534264,-89.433456622497,-28.4689653239179,3.618353E-10,L,1,273.150283264551,0.000181,Bell
5,-7926.16582674029,-16361.970237197,-9491.92986942599,-17927.7342798827,0.0440962,8.31446261815324,7.82007952438784E-05,0.00806611576677234,7.96595926455938E-05,-15869.9198746742,-17826.8422297314,-0.00798645617412674,-2.906599547714E-07,208.1101,1.4921998918504E-05,2.15438199052265E-05,7.45418260925585E-06,2.001829,1.44376232855178,6894757,12787.593743534,123.975408847889,12553.4159388563,-33.3212330592435,-4.007623172962759 m^-2 kg^-1 s^2 mol K,-2.001980775062585 m^-2 kg^-1 s^2 mol K,-0.366977113560683,-32.3891912958473,-95.6019221121449,-32.0222141822866,3.618353E-10,L,1,253.166033665628,0.000167,Bell
6,-7947.62706638795,-16600.1687850782,-8991.73847133583,-17644.2801900261,0.0440962,8.31446261815324,7.69300584597179E-05,0.00806611576677234,7.96595926455938E-05,-15869.9198746742,-17826.8422297314,-0.00798645617412674,-2.906599547714E-07,208.1101,1.4921998918504E-05,2.15438199052265E-05,7.45418260925585E-06,2.001829,1.44376232855178,13789514,12998.8202273838,123.975408847889,12553.4159388563,-34.1773404331096,-4.110589222987071 m^-2 kg^-1 s^2 mol K,-2.05341676186481 m^-2 kg^-1 s^2 mol K,-0.366977113560683,-32.3891912958473,-96.5942464867864,-32.0222141822866,3.618353E-10,L,1,253.166033665628,0.00018,Bell
7,-7959.01020933625,-16807.2099400257,-8495.34606245386,-17343.5457931433,0.0440962,8.31446261815324,7.58355791210328E-05,0.00806611576677234,7.96595926455938E-05,-15869.9198746742,-17826.8422297314,-0.00798645617412674,-2.906599547714E-07,208.1101,1.4921998918504E-05,2.15438199052265E-05,7.45418260925585E-06,2.001829,1.44376232855178,20684271,13186.4226737691,123.975408847889,12553.4159388563,-34.9501850725197,-4.203541067851077 m^-2 kg^-1 s^2 mol K,-2.0998502208985266 m^-2 kg^-1 s^2 mol K,-0.366977113560683,-32.3891912958473,-97.4862300031743,-32.0222141822866,3.618353E-10,L,1,253.166033665628,0.000191,Bell
8,-7962.73523116833,-16990.2605427286,-8002.73735223012,-17030.2626637904,0.0440962,8.31446261815324,7.48734655201479E-05,0.00806611576677234,7.96595926455938E-05,-15869.9198746742,-17826.8422297314,-0.00798645617412674,-2.906599547714E-07,208.1101,1.4921998918504E-05,2.15438199052265E-05,7.45418260925585E-06,2.001829,1.44376232855178,27579028,13355.8663680514,123.975408847889,12553.4159388563,-35.6585169852741,-4.288733815149968 m^-2 kg^-1 s^2 mol K,-2.1424076757555053 m^-2 kg^-1 s^2 mol K,-0.366977113560683,-32.3891912958473,-98.3007209890169,-32.0222141822866,3.618353E-10,L,1,253.166033665628,0.000203,Bell
9,-7960.42565560999,-17154.1754355317,-7513.80093470425,-16707.550714626,0.0440962,8.31446261815324,7.40146242718847E-05,0.00806611576677234,7.96595926455938E-05,-15869.9198746742,-17826.8422297314,-0.00798645617412674,-2.906599547714E-07,208.1101,1.4921998918504E-05,2.15438199052265E-05,7.45418260925585E-06,2.001829,1.44376232855178,34473785,13510.8434290852,123.975408847889,12553.4159388563,-36.3150998054679,-4.367702577215262 m^-2 kg^-1 s^2 mol K,-2.18185598131272 m^-2 kg^-1 s^2 mol K,-0.366977113560683,-32.3891912958473,-99.0532266283744,-32.0222141822866,3.618353E-10,L,1,253.166033665628,0.000215,Bell
