thermal_conductivity,temperature,pressure,state,refno,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,c_p,c_v,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,success
0.1524,298.0,98000.0,Liquid,71483,13099.637420635438,-132.9444388319111,-84.81851884896356,-10.201323013200696 m^-2 kg^-1 s^2 mol K,-3.400781082508483 m^-2 kg^-1 s^2 mol K,-46050.715789082395,-48520.944526200336,-23245.025909209195,-20774.79717209125,7.633799073131079e-05,177.06910499460193,148.58543059342824,-0.045483622500677896,-84.8116911030908,-84.76620748059011,-46030.945327759124,-48504.46654346969,13098.577508416816,7.63441678577254e-05,1.1040221876346807,0.9057788975622458,-0.9057025533943881,4.969842848367989e-08,2.3936694173753337e-05,3.3776625167719604e-05,7.97969602752053e-06,1.4110814518721546,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.147,323.0,98000.0,Liquid,71483,12754.705691115469,-118.25583075564136,-77.51679890827694,-9.323127960071883 m^-2 kg^-1 s^2 mol K,-3.108020122036165 m^-2 kg^-1 s^2 mol K,-43715.29963060102,-46393.18761751076,-21355.26157013731,-18677.373583227563,7.84024362629213e-05,187.69665957147953,156.2309260338567,-0.10251856198172216,-77.51003242989607,-77.40751386791435,-43666.94468867502,-46338.74977524489,12753.620157817651,7.840910954110743e-05,4.521513590374978,0.22116487764820986,-0.22108646853866876,6.182199285831302e-08,2.584830422008281e-05,3.51648997363707e-05,8.616963103004571e-06,1.3604335292931662,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.1417,348.0,98000.0,Liquid,71483,12389.156780675235,-103.88100101541609,-70.44816354044758,-8.472966537444739 m^-2 kg^-1 s^2 mol K,-2.8246046396122075 m^-2 kg^-1 s^2 mol K,-41263.31924378197,-44148.84209204333,-19632.881179967575,-16747.358331706215,8.071574342814136e-05,198.02170613913515,162.4527605783534,-0.20125628426882075,-70.44308686730513,-70.2418305830363,-41157.14474550812,-44013.14605179043,12388.320579046502,8.072119167560059e-05,14.314412655855282,0.06985965991353142,-0.06977893872185582,2.601445885375142e-07,2.7706108354598282e-05,3.6500410123961335e-05,9.236293080840846e-06,1.3174138228584347,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.1366,373.0,98000.0,Liquid,71483,32.302367823875386,22.700246161933165,-0.3109889961570184,-0.03740337896017788 m^-2 kg^-1 s^2 mol K,-0.012469039890715032 m^-2 kg^-1 s^2 mol K,-183.62906775511834,-251.09029872201353,-135.0914031554457,-67.63017218855049,0.030957482914329214,114.40775497942785,105.05769200793367,-0.3579518244785816,-63.612854101342414,-63.25490227686383,-38491.21545689393,-41505.46968027506,11993.565097210265,8.337804413406675e-05,37.21341298564169,0.026872031339502157,-0.02678865329536809,1.8470745999366045e-07,2.9516143785727116e-05,3.778875103738881e-05,9.839698565098882e-06,1.280273985372778,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.1628,298.0,24500000.0,Liquid,71483,13352.256722635086,-134.7488045462716,-86.46407116487211,-10.399237465581027 m^-2 kg^-1 s^2 mol K,-3.4667591644434537 m^-2 kg^-1 s^2 mol K,-46571.177505378866,-47213.991549178216,-21447.698342046326,-20804.884298246972,7.48937067922589e-05,175.48982614682086,148.7910926844699,-0.045483622500677896,-84.8116911030908,-84.76620748059011,-46030.945327759124,-48504.46654346969,13098.577508416816,7.63441678577254e-05,1.1040221876346807,0.9057788975622458,-0.9057025533943881,4.969842848367989e-08,2.3936694173753337e-05,3.3776625167719604e-05,7.97969602752053e-06,1.4110814518721546,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.1579,323.0,24500000.0,Liquid,71483,13038.06623399712,-120.22268812370996,-79.30096281176158,-9.537713554526203 m^-2 kg^-1 s^2 mol K,-3.1795558070894434 m^-2 kg^-1 s^2 mol K,-44330.35764754074,-45136.81605442577,-19522.60506622679,-18716.14665934176,7.669849056238664e-05,185.19148410967426,156.36033301488146,-0.10251856198172216,-77.51003242989607,-77.40751386791435,-43666.94468867502,-46338.74977524489,12753.620157817651,7.840910954110743e-05,4.521513590374978,0.22116487764820986,-0.22108646853866876,6.182199285831302e-08,2.584830422008281e-05,3.51648997363707e-05,8.616963103004571e-06,1.3604335292931662,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.153,348.0,24500000.0,Liquid,71483,12712.494105015472,-106.07698189457227,-72.42993342517039,-8.711318668633103 m^-2 kg^-1 s^2 mol K,-2.9040632958739554 m^-2 kg^-1 s^2 mol K,-42003.29806540362,-42969.49319134594,-17763.876359386635,-16797.68123344433,7.866277000714352e-05,194.30690788940709,162.5646003454598,-0.20125628426882075,-70.44308686730513,-70.2418305830363,-41157.14474550812,-44013.14605179043,12388.320579046502,8.072119167560059e-05,14.314412655855282,0.06985965991353142,-0.06977893872185582,2.601445885375142e-07,2.7706108354598282e-05,3.6500410123961335e-05,9.236293080840846e-06,1.3174138228584347,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.1482,373.0,24500000.0,Liquid,71483,12369.670676777712,-92.30379296868651,-65.86174931301696,-7.9213476971101935 m^-2 kg^-1 s^2 mol K,-2.640713303700435 m^-2 kg^-1 s^2 mol K,-39607.54418759032,-40728.18779231398,-16161.755298558643,-15041.111693834997,8.084289599377589e-05,202.7323081313041,167.36543829498902,-0.3579518244785816,-63.612854101342414,-63.25490227686383,-38491.21545689393,-41505.46968027506,11993.565097210265,8.337804413406675e-05,37.21341298564169,0.026872031339502157,-0.02678865329536809,1.8470745999366045e-07,2.9516143785727116e-05,3.778875103738881e-05,9.839698565098882e-06,1.280273985372778,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.1439,398.0,24500000.0,Liquid,71483,12004.193206831087,-78.90000191107455,-59.60951587711614,-7.169376857497527 m^-2 kg^-1 s^2 mol K,-2.3900312889614055 m^-2 kg^-1 s^2 mol K,-37162.0998022651,-38430.30243596585,-14705.71511687363,-13437.512483172879,8.330422401323411e-05,210.46953782672156,170.83203850554355,-0.5930255981705542,-57.01842811461538,-56.42540251644483,-35650.594206125126,-38781.38223500115,11559.140484237176,8.651162267330063e-05,83.28182275471482,0.01200742211112793,-0.011920910488454629,5.593756213784218e-08,3.128337838876358e-05,3.9034593256675914e-05,1.042883567982251e-05,1.247774226031049,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.1401,423.0,24500000.0,Liquid,71483,11610.826917799359,-65.86032882235017,-53.68271316127111,-6.45654633698922 m^-2 kg^-1 s^2 mol K,-2.1523973520649466 m^-2 kg^-1 s^2 mol K,-34685.1959496067,-36092.11414344467,-13384.32647622699,-11977.40828238902,8.612650994452456e-05,217.60331443356034,173.11752190674608,-0.9335657884923754,-50.64692585946863,-49.71336007097626,-32602.531057564418,-35788.85143477755,11072.333274347,9.031520052930992e-05,166.57385993809885,0.006003342903692175,-0.005913027703162865,-3.3492688089609146e-07,3.30106927277765e-05,4.024188410676746e-05,1.1004664709063074e-05,1.2190560324990198,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
