viscosity,temperature,pressure,state,refno,rho,s_total,s_res,s_res*,s_res**,E_res,H_res,G_res,A_res,V,s_res_vle_gas,s_res_vle_liq,s_vap,dE_vap,dH_vap,rho_vap_liq,V_vap_liq,rho_vap_gas,V_vap_gas,dV_vap,dpressure,eta_CE,eta_CE_ig,eta_CE_m,omega22,M,m,sigma,epsilon,R,success
0.002133,294.59,101320.0,Liquid,33251,13145.627530404628,-134.97411324070316,-85.83303420330684,-10.323341164094568 m^-2 kg^-1 s^2 mol K,-3.4414578671515716 m^-2 kg^-1 s^2 mol K,-46359.917603841684,-48801.56764075655,-23516.014094804388,-21074.36405788952,7.607092150504735e-05,-0.040163229425924915,-85.82600393060306,-85.78584070117714,-46342.47498461207,-48788.330152156064,13144.541929259098,7.607720416441821e-05,0.8892290495563561,1.1245696488423411,-1.1244935716381768,5.054107532487251e-08,2.3671541466153304e-05,3.358281697047689e-05,7.891302952346336e-06,1.4187000461501502,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.001954,298.17,101320.0,Liquid,33251,13097.378005329176,-132.8436956802308,-84.76830858894186,-10.19528410698058 m^-2 kg^-1 s^2 mol K,-3.3987679124514387 m^-2 kg^-1 s^2 mol K,-46035.32266405861,-48506.71008341051,-23231.343511445713,-20759.956092093813,7.635115972014484e-05,-0.04576223530460136,-84.76124131986803,-84.71547908456343,-46015.34689521251,-48490.24450452547,13096.280629699699,7.635755740696359e-05,1.1158110190589317,0.8962091097141109,-0.896132752156704,7.781736712786369e-07,2.394988504615008e-05,3.378625806637542e-05,7.984093424725833e-06,1.4107064815247008,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.001734,303.11,101320.0,Liquid,33251,13030.40345006258,-129.91552267274088,-83.30716242194752,-10.019548616414518 m^-2 kg^-1 s^2 mol K,-3.3401835571605556 m^-2 kg^-1 s^2 mol K,-45583.27203311934,-48095.69313630173,-22844.459134585217,-20332.038031402826,7.674359461181514e-05,-0.054441690226235434,-83.30005352218191,-83.24561183195567,-45559.25588601347,-48074.018523496205,13029.291575504125,7.675014364403832e-05,1.5092291731544738,0.6625898954165308,-0.6625131452728867,4.320509106037207e-08,2.433203793253416e-05,3.4064989121377934e-05,8.111490459890709e-06,1.4000055899892352,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.001545,308.13,101320.0,Liquid,33251,12961.808927342372,-126.95338552397583,-81.83182670934917,-9.842106515781676 m^-2 kg^-1 s^2 mol K,-3.281030274954721 m^-2 kg^-1 s^2 mol K,-45119.012818966505,-47673.13137531611,-22458.290611364355,-19904.172055014744,7.714972544384168e-05,-0.06448586263929022,-81.82469225182157,-81.76020638918229,-45090.16324936863,-47645.142793885134,12960.685281317585,7.715641405485466e-05,2.0255558102649918,0.4936916548693742,-0.49361449845531935,-7.089156497386284e-07,2.471808899821726e-05,3.434591685778487e-05,8.240187018107564e-06,1.389505348097986,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.001384,313.05,101320.0,Liquid,33251,12893.987126453445,-124.06314710258863,-80.39507025252851,-9.669304433097011 m^-2 kg^-1 s^2 mol K,-3.223423820081012 m^-2 kg^-1 s^2 mol K,-44659.26755486256,-47254.25215121828,-22086.57540866422,-19491.590812308506,7.755552958079111e-05,-0.07562861831461958,-80.38793447141654,-80.31230585310192,-44624.876048744474,-47218.931231911854,12892.856025959127,7.756233358896971e-05,2.671085338710699,0.3743796521614274,-0.3743020898278384,-1.2881446309620515e-07,2.509422578234266e-05,3.461903647852077e-05,8.365578485296084e-06,1.3795618473665028,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.001241,318.07,101320.0,Liquid,33251,12824.109236286266,-121.127074413416,-78.93843792709798,-9.494111832886118 m^-2 kg^-1 s^2 mol K,-3.165020446340007 m^-2 kg^-1 s^2 mol K,-44185.40145438702,-46822.081835663055,-21714.132884190993,-19077.452502914963,7.797812554266654e-05,-0.08843018136468968,-78.93133432353008,-78.8429041421654,-44144.4310812632,-46777.94834118906,12822.97621761413,7.798501557121831e-05,3.502194319128486,0.28553526985585653,-0.2854572848402853,5.295696610119194e-07,2.547576749866343e-05,3.48955041182016e-05,8.49277177673215e-06,1.3697528100000274,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.001116,323.11,101320.0,Liquid,33251,12753.191138141914,-118.19220119985577,-77.48544916859265,-9.319357453050076 m^-2 kg^-1 s^2 mol K,-3.106763160666092 m^-2 kg^-1 s^2 mol K,-43704.85389796068,-46383.39523628207,-21347.0717554181,-18668.530417096714,7.841174723785217e-05,-0.10285089337124344,-77.4784235799862,-77.37557268661496,-43656.22650995619,-46328.880071442974,12752.063895331388,7.841867859257718e-05,4.546834056347741,0.21993325193030097,-0.2198548332517084,2.9633156373165548e-08,2.5856592261700862e-05,3.517088705788208e-05,8.619726059839606e-06,1.3602290163339767,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.001009,328.09,101320.0,Liquid,33251,12682.29463336655,-115.30476098348805,-76.05904135765833,-9.147800026377666 m^-2 kg^-1 s^2 mol K,-3.0495716326224844 m^-2 kg^-1 s^2 mol K,-43225.37184393971,-45945.27479379601,-20991.063914761886,-18271.16096490559,7.885008422443086e-05,-0.11875847262488638,-76.0521518411505,-75.93339336852561,-43168.024205485635,-45878.79811299418,12681.183012734906,7.885699614899995e-05,5.824981024665718,0.17167437898347276,-0.17159552198732375,-1.2757118383888155e-07,2.623072717584695e-05,3.5440889968726426e-05,8.744450170299348e-06,1.3511211386224975,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.002202,298.16,15300000.0,Liquid,33251,13259.067167653944,-133.99940642323924,-85.81911640100407,-10.321667237234594 m^-2 kg^-1 s^2 mol K,-3.440899835728438 m^-2 kg^-1 s^2 mol K,-46372.02021976751,-47697.13306211524,-22109.305315991853,-20784.192473644132,7.542008705103647e-05,-0.04574581040453854,-84.76420864723954,-84.718462836835,-46016.26462823254,-48491.08128104953,13096.415754950176,7.6356769570485e-05,1.1151145638240312,0.8967688454993611,-0.8966924887297906,2.5620011001592502e-08,2.394910918586924e-05,3.378569150130598e-05,7.983834778767624e-06,1.4107285260213625,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.001954,298.17,100000.0,Liquid,33251,13097.363312634729,-132.8435917253959,-84.76821396131177,-10.195272725892655 m^-2 kg^-1 s^2 mol K,-3.3987641183760564 m^-2 kg^-1 s^2 mol K,-46035.29167646713,-48506.77987078478,-23231.44151394045,-20759.953319622793,7.635124537129719e-05,-0.04576223530460136,-84.76124131986803,-84.71547908456343,-46015.34689521251,-48490.24450452547,13096.280629699699,7.635755740696359e-05,1.1158110190589317,0.8962091097141109,-0.896132752156704,7.781736712786369e-07,2.394988504615008e-05,3.378625806637542e-05,7.984093424725833e-06,1.4107064815247008,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
0.002153,298.17,12260000.0,Liquid,33251,13227.771436805613,-133.77062349540947,-85.61286952674386,-10.296861439947119 m^-2 kg^-1 s^2 mol K,-3.4326304096900087 m^-2 kg^-1 s^2 mol K,-46307.12413009516,-47859.40954140288,-22332.22023461366,-20779.93482330594,7.559852426974584e-05,-0.04576223530460136,-84.76124131986803,-84.71547908456343,-46015.34689521251,-48490.24450452547,13096.280629699699,7.635755740696359e-05,1.1158110190589317,0.8962091097141109,-0.896132752156704,7.781736712786369e-07,2.394988504615008e-05,3.378625806637542e-05,7.984093424725833e-06,1.4107064815247008,0.0600956,2.9997,3.2522000000000004e-10,233.4,8.31446261815324,1
