,id,temperature,unc_t,pressure,unc_p,density,unc_rho,value,uncertainty,unit,property,type,database,phase,const_value,const_prop,quality,note,substance_id,reference_id,id_1,ddbnr,cas,common_name,iupac_name,iupac_name_source,inchi_key,canonical_smiles,isomeric_smiles,inchi,formula,family,source,id_2,database_refID,database_1,title,authors,year,pages,volume,issue,journal
50036,51517,548.15,,2546000.0,,,,1.896e-05,,Pa*s,viscosity,Experiment,DDB,Vapor,,,,,173,31343,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,31343,31401,DDB,Experimentelle Untersuchung der Viskosität von Wasserdampf bei Temperaturen bis 450°C und Drücken bis 350 bar,"Rivkin, S.L.;Levin, A.Ya.;Izrailevskii, L.B.",1968,74 - 78,,12,Teploenergetika
50037,51518,548.15,,3585000.0,,,,1.8780000000000003e-05,,Pa*s,viscosity,Experiment,DDB,Vapor,,,,,173,31343,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,31343,31401,DDB,Experimentelle Untersuchung der Viskosität von Wasserdampf bei Temperaturen bis 450°C und Drücken bis 350 bar,"Rivkin, S.L.;Levin, A.Ya.;Izrailevskii, L.B.",1968,74 - 78,,12,Teploenergetika
50038,51519,573.15,,6792000.0,,,,1.962e-05,,Pa*s,viscosity,Experiment,DDB,Vapor,,,,,173,31343,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,31343,31401,DDB,Experimentelle Untersuchung der Viskosität von Wasserdampf bei Temperaturen bis 450°C und Drücken bis 350 bar,"Rivkin, S.L.;Levin, A.Ya.;Izrailevskii, L.B.",1968,74 - 78,,12,Teploenergetika
50039,51520,573.15,,7923000.0,,,,1.942e-05,,Pa*s,viscosity,Experiment,DDB,Vapor,,,,,173,31343,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,31343,31401,DDB,Experimentelle Untersuchung der Viskosität von Wasserdampf bei Temperaturen bis 450°C und Drücken bis 350 bar,"Rivkin, S.L.;Levin, A.Ya.;Izrailevskii, L.B.",1968,74 - 78,,12,Teploenergetika
50040,51521,598.15,,3044000.0,,,,2.107e-05,,Pa*s,viscosity,Experiment,DDB,Vapor,,,,,173,31343,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,31343,31401,DDB,Experimentelle Untersuchung der Viskosität von Wasserdampf bei Temperaturen bis 450°C und Drücken bis 350 bar,"Rivkin, S.L.;Levin, A.Ya.;Izrailevskii, L.B.",1968,74 - 78,,12,Teploenergetika
50041,51522,598.15,,3547000.0,,,,2.107e-05,,Pa*s,viscosity,Experiment,DDB,Vapor,,,,,173,31343,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,31343,31401,DDB,Experimentelle Untersuchung der Viskosität von Wasserdampf bei Temperaturen bis 450°C und Drücken bis 350 bar,"Rivkin, S.L.;Levin, A.Ya.;Izrailevskii, L.B.",1968,74 - 78,,12,Teploenergetika
50042,51523,598.15,,4543000.0,,,,2.094e-05,,Pa*s,viscosity,Experiment,DDB,Vapor,,,,,173,31343,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,31343,31401,DDB,Experimentelle Untersuchung der Viskosität von Wasserdampf bei Temperaturen bis 450°C und Drücken bis 350 bar,"Rivkin, S.L.;Levin, A.Ya.;Izrailevskii, L.B.",1968,74 - 78,,12,Teploenergetika
50043,51524,598.15,,4791000.0,,,,2.09e-05,,Pa*s,viscosity,Experiment,DDB,Vapor,,,,,173,31343,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,31343,31401,DDB,Experimentelle Untersuchung der Viskosität von Wasserdampf bei Temperaturen bis 450°C und Drücken bis 350 bar,"Rivkin, S.L.;Levin, A.Ya.;Izrailevskii, L.B.",1968,74 - 78,,12,Teploenergetika
50044,51525,598.15,,5535000.0,,,,2.097e-05,,Pa*s,viscosity,Experiment,DDB,Vapor,,,,,173,31343,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,31343,31401,DDB,Experimentelle Untersuchung der Viskosität von Wasserdampf bei Temperaturen bis 450°C und Drücken bis 350 bar,"Rivkin, S.L.;Levin, A.Ya.;Izrailevskii, L.B.",1968,74 - 78,,12,Teploenergetika
50045,51526,598.15,,5537000.0,,,,2.096e-05,,Pa*s,viscosity,Experiment,DDB,Vapor,,,,,173,31343,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,31343,31401,DDB,Experimentelle Untersuchung der Viskosität von Wasserdampf bei Temperaturen bis 450°C und Drücken bis 350 bar,"Rivkin, S.L.;Levin, A.Ya.;Izrailevskii, L.B.",1968,74 - 78,,12,Teploenergetika
