Unnamed: 0,id,temperature,unc_t,pressure,unc_p,density,unc_rho,value,uncertainty,unit,property,type,database,phase,const_value,const_prop,quality,note,substance_id,reference_id,id_1,ddbnr,cas,common_name,iupac_name,iupac_name_source,inchi_key,canonical_smiles,isomeric_smiles,inchi,formula,family,source,id_2,database_refID,database_1,title,authors,year,pages,volume,issue,journal
54967,56448,323.32,0.5,5790000.0,17370.0,,,0.0005443,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
54968,56449,323.25,0.5,5840000.0,17520.0,,,0.0005448,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
54969,56450,322.85,0.5,6690000.0,20070.0,,,0.0005629,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
54970,56451,323.26,0.5,10250000.0,30750.0,,,0.000552,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
54971,56452,323.35,0.5,10250000.0,30750.0,,,0.0005571,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
54972,56453,323.46,0.5,10250000.0,30750.0,,,0.0005565,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
54973,56454,323.48,0.5,25150000.0,75450.0,,,0.000554,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
54974,56455,323.48,0.5,50230000.0,150690.0,,,0.0005586,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
54975,56456,323.46,0.5,50190000.0,150570.0,,,0.0005517,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
54976,56457,323.55,0.5,99520000.0,298560.0,,,0.0005505999999999,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
54977,56458,323.51,0.5,99540000.0,298620.0,,,0.0005578,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
54978,56459,323.55,0.5,99540000.0,298620.0,,,0.0005492,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
54979,56460,368.62,0.5,10100000.0,30300.0,,,0.000299,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
54980,56461,368.48,0.5,10180000.0,30540.0,,,0.0003002,,Pa*s,viscosity,Experiment,DDB,Liquid,,,,,173,84795,173,174,7732-18-5,water,oxidane,PubChem,XLYOFNOQVPJJNP-UHFFFAOYSA-N,O,O,InChI=1S/H2O/h1H2,H2O,other inorganics,NIST ChemistryWebBook,84795,85304,DDB,Viscosity Measurement of Water and Steam at High Temperatures and High Pressures,"Nagashima, A.;Tanishita, I.",1969,1467 - 1478,12,54,Bull. JSME / Jap. Soc. Mech. Engin.
